"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PBANKA_000230",0.266355361170827,-3.58701350658849,2.90808057200498,-0.545725425170846,0.585254692122521,1
"PBANKA_010080",464.686995921719,-0.586085914584535,0.983995339671573,0,1,1
"PBANKA_010090",918.061686166002,-0.687757807222616,1.23451912074992,0,1,1
"PBANKA_010100",208.357029211728,-0.196073382195172,0.753038494800838,0,1,1
"PBANKA_010110",105.291743326147,0.033399894227073,0.987408030242701,0,1,1
"PBANKA_010120",191.338754446582,0.157120629796112,0.786706720327808,0,1,1
"PBANKA_010130",115.649395130954,-0.373576480250835,0.849516841453488,0,1,1
"PBANKA_010140",440.920323520482,-0.616765526730765,0.603077403615853,0,1,1
"PBANKA_010150",251.270364955803,-0.780457646033853,0.985786298350733,0,1,1
"PBANKA_010160",190.344133628196,-0.524419690342341,0.702162939517142,0,1,1
"PBANKA_010170",256.792965388713,-0.554467487712661,0.604067730459722,0,1,1
"PBANKA_010180",550.74220224868,-0.670336553961553,0.639050247769206,0,1,1
"PBANKA_010190",194.714464579416,-0.384922037518637,0.835057879965816,0,1,1
"PBANKA_010200",141.825560804924,-0.309959768555153,0.698530519355873,0,1,1
"PBANKA_010210",234.572536167893,-1.14141457229405,0.700170770055714,0,1,1
"PBANKA_010230",107.665175690093,0.40285572737166,0.861483223925771,0,1,1
"PBANKA_010240",176.971718922185,-0.124103552910588,0.959344972130568,0,1,1
"PBANKA_010250",84.0747107519478,0.34299526426761,0.566095960822841,0,1,1
"PBANKA_010260",645.040775265828,-0.858735598357486,0.666377513611138,0,1,1
"PBANKA_010270",97.4045750805531,-0.720010995328516,0.940111704929321,0,1,1
"PBANKA_010280",239.833598421598,1.12376377053974,0.652558539911525,0,1,1
"PBANKA_010290",373.728416286429,-2.04557055806387,1.43422691062882,-0.0317736041111447,0.974652596872552,1
"PBANKA_010300",128.74510505325,-0.572177704759233,0.892888314046352,0,1,1
"PBANKA_010310",126.093283120564,0.124218387000622,0.612987896610061,0,1,1
"PBANKA_010320",269.429106519927,-2.12244549558316,1.20080517768587,-0.101969493352058,0.918780889613928,1
"PBANKA_010330",1299.44964061188,0.0669595199309463,0.78638760914836,0,1,1
"PBANKA_010340",197.57694170381,-0.0275565614916571,0.796928698560444,0,1,1
"PBANKA_010350",138.10024568978,0.397274153988171,0.906245045013322,0,1,1
"PBANKA_010360",38.2967645836935,0.653192691707103,1.13403795527197,0,1,1
"PBANKA_010370",89.1147922168543,0.447990621922851,0.859458391324242,0,1,1
"PBANKA_010380",174.312599726554,-0.236421396913105,0.999817292337465,0,1,1
"PBANKA_010390",473.737220297503,-0.468466674610363,0.564175621180595,0,1,1
"PBANKA_010400",352.969854183932,-0.372416372641842,0.775619858984107,0,1,1
"PBANKA_010410",227.655209787489,-0.567736812099177,0.799333515763654,0,1,1
"PBANKA_010420",165.200542600176,-0.572697942847845,1.1679335053298,0,1,1
"PBANKA_010430",74.118296857888,0.831207074344996,0.841229504750019,0,1,1
"PBANKA_010440",267.118252012223,-1.51862705702586,1.03041432286034,0,1,1
"PBANKA_010450",894.531839124969,-2.32928639985163,1.03547985730741,-0.318003674844904,0.750482149376282,1
"PBANKA_010460",563.974020003931,1.93790311592128,0.671802811503195,0,1,1
"PBANKA_010470",240.715767926568,-0.437419811363666,0.823821209183358,0,1,1
"PBANKA_010480",502.770310339127,-1.02337083616646,1.26332189119017,0,1,1
"PBANKA_010490",398.57115328437,0.108611539743474,0.478040363541944,0,1,1
"PBANKA_010500",317.788076031697,-0.611326428197833,0.768669401715888,0,1,1
"PBANKA_010510",227.856952515446,-1.61992829144196,1.28452768453506,0,1,1
"PBANKA_010520",271.597466159548,-0.780147137285941,0.800224720177504,0,1,1
"PBANKA_010530",850.132508951516,0.0691184258916029,0.775762681837053,0,1,1
"PBANKA_010540",381.040276518993,0.656263512307598,0.565175891994534,0,1,1
"PBANKA_010550",361.182761661558,-0.266910276513365,0.834509734293504,0,1,1
"PBANKA_010560",519.547484245769,0.102972334207209,0.823014095416894,0,1,1
"PBANKA_010570",297.382196225783,-0.443723206247322,1.12586606967566,0,1,1
"PBANKA_010580",387.481189161559,0.532639828635773,1.11940491738559,0,1,1
"PBANKA_010590",149.760112009728,0.00757849085127768,0.827053828432014,0,1,1
"PBANKA_010600",789.250775877404,0.315590095973057,0.794886111381391,0,1,1
"PBANKA_010610",118.537502474569,1.08800306228596,0.613300706709337,0,1,1
"PBANKA_010620",257.80203497904,-1.03634349486308,0.772386375088168,0,1,1
"PBANKA_010640",422.437688037777,-0.133932067100775,0.785687351084696,0,1,1
"PBANKA_010650",391.707091789981,0.977669405890904,0.736434515767308,0,1,1
"PBANKA_010660",237.929037558469,0.69503864123127,0.835114596733133,0,1,1
"PBANKA_010680",93.2538150985508,0.757117226329819,0.740343876798325,0,1,1
"PBANKA_010690",269.890832810597,1.30348974247935,0.702349107341782,0,1,1
"PBANKA_010700",733.774726638808,-0.932410134861114,1.04357874690508,0,1,1
"PBANKA_010710",288.774746544788,0.13203518099126,0.812670702797202,0,1,1
"PBANKA_010720",344.091789576559,-1.30462176768678,0.874612198976832,0,1,1
"PBANKA_010730",557.173418925922,-0.0541884030784484,0.774462572779101,0,1,1
"PBANKA_010740",244.101474732357,-0.392610968267153,0.756603221964313,0,1,1
"PBANKA_010750",204.595248134404,0.197715975368116,0.599578720769132,0,1,1
"PBANKA_010760",1645.15283507671,0.797328875715249,0.711603438712622,0,1,1
"PBANKA_010770",693.385860749157,-0.787801977870329,1.02566556605271,0,1,1
"PBANKA_010790",649.608923123743,-0.489514860445689,0.623272425194683,0,1,1
"PBANKA_010800",257.387919178176,0.168935666307366,0.774538110433745,0,1,1
"PBANKA_010810",211.31214976653,-0.843535926125873,1.17448173058706,0,1,1
"PBANKA_010820",423.956480341202,-0.247507443570148,1.0243032464388,0,1,1
"PBANKA_010830",228.975674491296,-2.52747353238048,1.34499415466576,-0.392175334406237,0.694928667635127,1
"PBANKA_010840",428.298804762481,1.38249221020443,0.639670740391501,0,1,1
"PBANKA_010850",164.868215858205,0.00365213903417253,0.767008558127717,0,1,1
"PBANKA_010860",301.283578701335,0.348043499107395,0.521965982501437,0,1,1
"PBANKA_010870",680.855876463506,0.453237060219403,0.721953901655112,0,1,1
"PBANKA_010880",572.654533324418,-1.75485013236868,1.09853530697781,0,1,1
"PBANKA_010890",102.547638202666,-0.154584312305415,1.02589115738813,0,1,1
"PBANKA_010910",805.445354787323,0.197041704505236,0.809153310836919,0,1,1
"PBANKA_010920",710.304264734282,-0.190938528081478,0.919671215828448,0,1,1
"PBANKA_010930",99.4925837730619,-0.849532095730929,0.867910653737183,0,1,1
"PBANKA_010940",55.0637591023445,-0.256912491510404,0.794893569128789,0,1,1
"PBANKA_010950",309.537027844052,0.117182220850124,0.786893359544143,0,1,1
"PBANKA_010960",370.546512506797,-0.067696342020974,0.885367151138377,0,1,1
"PBANKA_010970",379.536169072878,-0.443857978497308,0.854854783852943,0,1,1
"PBANKA_010980",256.252932879601,-3.17541338672131,1.48668343400693,-0.790627890130801,0.429161166699526,1
"PBANKA_010990",478.230923949824,-2.71234098643699,1.37465648992363,-0.518195630441874,0.604321783152369,1
"PBANKA_011020",159.250806357619,-0.690331519536714,0.642702375442673,0,1,1
"PBANKA_011030",50.257591961385,-2.26731590268441,1.23674308604115,-0.216145055267778,0.828874680650655,1
"PBANKA_011040",323.810410822471,-0.294554632512911,0.614295024554617,0,1,1
"PBANKA_011050",1069.92003407209,0.278996194208028,1.04977122651558,0,1,1
"PBANKA_011070",50.9009006941465,0.792991769747047,0.874685629022029,0,1,1
"PBANKA_011080",251.077314641652,-2.1252245384512,0.982296167756728,-0.127481448631909,0.898559355226088,1
"PBANKA_011090",374.602695258781,-0.158767150495931,0.755779679897266,0,1,1
"PBANKA_011100",219.740051733041,-1.00390017354973,1.29522500705634,0,1,1
"PBANKA_011110",378.049787271073,0.167269725252029,0.80802562871192,0,1,1
