Geneid	Chr	Start	End	Strand	Length	SRR10438730	SRR10438731	SRR9041561	SRR9041562	SRR9041563	SRR9041564	SRR9041565	SRR9041566
PBANKA_010010	1	2964	4509	+	1546	570	640	599	853	451	1238	1035	1384
PBANKA_010020	1	5878	7075	+	1198	921	895	5088	6468	3272	5177	5717	7400
PBANKA_010040	1	13433	15372	+	1940	1191	1354	469	547	682	2501	996	462
PBANKA_010050	1	16641	18072	-	1432	520	621	1499	2777	1344	2929	3010	3544
PBANKA_010060	1	19378	19860	+	483	238	232	777	1687	984	3084	2781	2390
PBANKA_010070	1	21904	23062	+	1159	417	469	3980	3993	2611	7870	8301	4991
PBANKA_010080	1	24148	28296	-	4149	1304	1398	9181	17696	11784	12521	9963	12069
PBANKA_010090	1	32842	36862	+	4021	1168	1275	1712	4135	1942	3446	2291	2940
PBANKA_010100	1	37985	39255	+	1271	385	436	194	248	68	393	509	279
PBANKA_010110	1	40254	41207	+	954	343	360	796	1008	384	683	1020	895
PBANKA_010120	1	41810	44969	-	3160	823	984	411	699	270	732	628	598
PBANKA_010130	1	45665	46819	+	1155	338	419	133	285	86	209	335	293
PBANKA_010140	1	47226	51670	-	4445	1171	1428	3634	8634	3339	5891	5157	6593
PBANKA_010150	1	54273	55676	-	1404	413	534	18753	23478	11585	25187	21704	26275
PBANKA_010160	1	56344	58368	+	2025	619	717	400	474	241	458	611	544
PBANKA_010170	1	58764	60211	-	1448	423	529	2827	6668	3425	3640	5024	7739
PBANKA_010180	1	62124	63623	+	1500	456	521	21323	31042	14116	25034	21016	29943
PBANKA_010190	1	64919	66355	-	1437	413	546	1490	2694	1334	2585	2378	2827
PBANKA_010200	1	68619	70043	+	1425	439	541	233	634	252	493	495	596
PBANKA_010210	1	70631	72184	-	1554	476	585	4478	5576	2896	8097	4447	5105
PBANKA_010220	1	73407	76112	-	2706	754	924	1329	3088	1935	3464	2064	2517
PBANKA_010230	1	79270	80592	+	1323	507	492	662	1335	578	815	1064	1208
