Geneid	Chr	Start	End	Strand	Length	SRR3437887	SRR3437888	SRR3437889	SRR3437890	SRR3437891	SRR3437892	SRR3437893	SRR3437894	SRR3437895	SRR3437896	SRR3437897	SRR3437898
PBANKA_010010	1	2964	4509	+	1546	16	21	67	56	23	37	11	26	79	80	78	85
PBANKA_010020	1	5878	7075	+	1198	219	253	1191	1186	660	730	811	879	985	1033	1178	1173
PBANKA_010040	1	13433	15372	+	1940	2700	2846	8126	8466	20621	21288	18411	19074	16361	16704	7942	8289
PBANKA_010050	1	16641	18072	-	1432	133	186	578	630	949	1019	1252	1261	986	1028	549	566
PBANKA_010060	1	19378	19860	+	483	401	460	961	1040	802	884	1424	1507	876	944	441	450
PBANKA_010070	1	21904	23062	+	1159	2921	3098	5590	5776	9757	10124	11286	11765	9453	9485	3476	3495
PBANKA_010080	1	24148	28296	-	4149	7411	7676	1640	1648	1163	1170	1855	1844	1812	1709	1925	2014
PBANKA_010090	1	32842	36862	+	4021	3549	3516	1877	2003	4219	4353	4203	4423	2766	2778	1487	1538
PBANKA_010100	1	37985	39255	+	1271	139	139	274	271	97	95	51	61	149	144	282	317
PBANKA_010110	1	40254	41207	+	954	25	24	48	53	45	38	58	58	128	164	49	50
PBANKA_010120	1	41810	44969	-	3160	146	137	330	390	97	99	116	98	197	239	296	328
PBANKA_010130	1	45665	46819	+	1155	16	8	139	135	27	32	37	34	73	93	146	154
PBANKA_010140	1	47226	51670	-	4445	2995	3144	1668	1724	988	950	1065	1121	1265	1366	1949	2077
PBANKA_010150	1	54273	55676	-	1404	1282	1333	543	498	163	187	677	653	381	407	505	548
PBANKA_010160	1	56344	58368	+	2025	431	410	522	489	243	250	291	288	430	421	474	530
PBANKA_010170	1	58764	60211	-	1448	1270	1220	733	831	292	338	357	369	399	411	957	920
PBANKA_010180	1	62124	63623	+	1500	813	839	988	1023	632	634	858	897	778	865	1331	1393
PBANKA_010190	1	64919	66355	-	1437	168	166	457	495	207	230	221	185	255	258	521	544
