Geneid	Chr	Start	End	Strand	Length	SRR11247594	SRR11247595	SRR11247596	SRR11247597	SRR11247598	SRR9592126	SRR9592127	SRR9592128	SRR9592129	SRR9592130	SRR9592131	SRR9592132	SRR9592133	SRR9592134	SRR9592135	SRR9592136	SRR9592137	SRR9592138	SRR9592139	SRR9592140	SRR9592141	SRR9592142	SRR9592143	SRR9592144	SRR9592145	SRR9592146	SRR9592147	SRR9592148	SRR9592149	SRR9592150	SRR9592151	SRR9592152	SRR9592153	SRR9592154	SRR9592155	SRR9592156	SRR9592157	SRR9592158	SRR9592159	SRR9592160	SRR9592161	SRR9592162	SRR9592163	SRR9592164	SRR9592165	SRR9974581	SRR9974582	SRR9974583	SRR9974584	SRR9974585	SRR9974586	SRR9974587	SRR9974588	SRR9974589	SRR9974590
gene:PF3D7_0100100	1	29510	37126	+	7617	756	565	1125	2151	507	1188	765	483	1003	5959	3391	1732	1965	1548	1207	2887	2591	1371	1568	1215	2150	2156	2775	1871	665	2111	20	17	6	23	14	5	860	1470	801	811	8265	6131	1912	4543	1193	1844	4261	1229	1522	1595	962	828	14	16	40	0	23	12	2876
gene:PF3D7_0100200	1	38982	40207	-	1226	35	29	31	84	18	86	45	42	99	20	21	85	93	454	272	26	19	44	91	257	188	37	44	70	119	33	0	2	0	2	0	0	34	46	158	167	93	73	44	139	137	187	80	59	74	63	183	16	0	1	2	0	2	0	56
gene:PF3D7_0100300	1	42367	46507	-	4141	35	11	331	658	200	337	414	13	63	1	4	2	0	5	4	2	0	642	796	244	93	10	2	824	187	16	0	0	1	1	0	0	7	13	5	6	2	1	1067	2661	52	105	19	183	199	698	231	9	0	0	16	0	3	0	8
gene:PF3D7_0100400	1	50363	51636	+	1274	212	152	82	158	97	225	153	208	739	459	319	273	248	304	200	108	93	81	91	170	323	69	69	74	132	78	0	0	0	0	0	0	85	149	172	190	454	377	107	270	135	245	161	89	169	79	193	34	0	1	7	0	2	0	105
gene:PF3D7_0100600	1	53778	55006	-	1229	176	131	31	75	70	100	67	3	11	12	9	21	28	28	19	4	5	27	9	68	44	0	3	12	33	4	0	0	0	0	0	0	42	60	24	16	16	13	54	106	24	56	0	22	53	16	55	1	0	0	3	0	1	0	2
gene:PF3D7_0100700	1	56690	56893	-	204	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	3	2	1	0	0	0	3	0	1	0	0
gene:PF3D7_0100800	1	59772	61003	+	1232	2	0	1	1	1	0	0	3	4	1	1	1	1	12	8	0	0	0	1	9	10	4	0	0	7	0	1	0	1	0	0	0	1	0	10	7	0	1	4	7	2	4	1	1	0	0	9	0	1	0	6	0	1	0	0
gene:PF3D7_0100900	1	62187	63400	-	1214	4	4	1	0	2	0	2	39	50	3	4	1	1	70	50	2	5	4	5	320	331	19	22	4	144	47	0	0	0	0	0	0	0	0	65	57	6	11	2	7	87	155	10	0	26	5	213	26	0	0	8	0	1	0	4
gene:PF3D7_0101000	1	65817	66989	-	1173	6	3	0	2	1	5	3	2	2	2	4	2	0	16	11	0	1	4	6	15	18	0	3	2	12	5	0	1	0	0	0	1	1	2	3	7	3	2	6	16	9	16	3	3	41	2	12	3	0	0	10	0	0	0	3
gene:PF3D7_0101100	1	69304	70417	-	1114	31	20	24	62	13	19	16	1	2	0	2	33	48	19	31	2	4	44	72	34	48	3	2	83	15	5	18	6	1	17	10	0	5	8	6	5	3	3	30	92	14	22	5	47	358	39	32	2	7	8	1	0	7	1	1
gene:PF3D7_0101200	1	71624	72426	+	803	4	1	9	10	2	7	4	0	1	0	0	46	60	16	9	0	2	35	41	16	2	0	0	35	10	0	4	0	0	2	2	0	1	1	1	3	1	0	3	24	1	4	0	14	188	25	18	0	1	0	0	0	0	0	0
gene:PF3D7_0101300	1	74563	75366	+	804	15	14	23	28	5	9	4	138	462	19	12	3	2	484	347	27	20	6	9	3006	2783	84	71	14	1413	203	1	158	6	2	192	3	2	3	400	453	24	12	27	58	1256	2030	47	8	49	8	2062	67	4	129	7	0	110	5	39
gene:PF3D7_0101600	1	81765	83106	-	1342	27	15	35	49	14	71	32	25	56	5	5	56	47	127	82	6	5	39	72	113	118	10	4	34	48	14	80	119	9	71	152	9	15	35	83	76	9	7	53	120	26	46	9	46	57	34	64	0	57	104	11	0	104	4	7
gene:PF3D7_0101800	1	87203	88177	-	975	5	1	7	11	2	9	4	2	2	1	0	7	6	7	3	1	0	9	10	9	11	6	0	10	2	0	6	1	0	11	4	0	4	10	6	2	1	0	8	12	37	65	2	13	5	7	2	0	9	2	6	0	3	1	1
gene:PF3D7_0101900	1	90242	91420	-	1179	27	16	17	40	10	84	21	2	5	1	1	21	23	4	7	1	0	21	38	6	9	0	0	17	3	1	35	2	2	20	5	0	44	61	7	11	8	2	29	76	0	3	0	27	17	20	8	1	22	2	6	0	1	0	0
gene:PF3D7_0102200	1	98819	102282	+	3464	587888	410639	276286	575466	478939	643558	525243	4586	24784	3979	5123	953833	1096008	15391	11262	3883	3253	378106	276434	28644	14115	1378	4491	517291	16499	1166	608091	4321	591	611804	3932	732	628197	1074429	18576	19530	15870	11813	300046	766526	3857	6485	14483	865582	821319	444073	23773	481	393485	3453	459	1107	2682	604	10014
gene:PF3D7_0102300	1	104704	105209	+	506	92	75	72	148	43	234	164	1673	427	1748	1523	56	77	360	258	3384	3071	179	198	221	1096	4292	3066	247	62	5853	192	678	4185	233	909	4357	114	198	588	634	6691	4886	94	184	2178	3392	2495	96	182	211	99	2364	123	541	3041	0	675	3608	1598
gene:PF3D7_0102500	1	110750	115799	-	5050	17144	11889	5753	11650	4520	10245	10878	72	186	2428	3529	8805	10061	464	333	1020	916	8490	5375	549	273	694	2090	11564	392	435	15221	45	176	16523	61	219	17019	28379	166	154	4871	3437	5816	14558	175	258	6777	16929	19422	9774	561	191	9917	48	101	27	52	188	4439
gene:PF3D7_0102600	1	119041	121249	-	2209	529	379	651	1380	169	737	351	423	3649	244	87	545	673	10314	7451	204	189	863	1054	8744	6448	200	170	1028	5892	333	758	3902	204	695	4035	251	176	274	2494	2802	205	156	400	935	1075	1701	185	1090	1502	940	8614	144	448	3018	140	4	2719	210	123
gene:PF3D7_0102700	1	124517	125484	+	968	1621	1242	941	1867	1088	2723	1825	56	81	99	81	2908	3333	231	181	154	113	1551	1735	293	162	124	118	2592	186	153	1598	69	83	1447	101	121	1841	3256	57	76	168	113	1267	2822	113	213	177	2524	3053	2096	297	40	1043	41	59	1	62	81	134
gene:PF3D7_0102800	1	126318	128141	-	1824	43	25	29	73	6	82	52	236	75	230	244	21	32	94	82	560	501	48	80	68	118	685	399	96	31	801	61	132	348	60	135	367	17	56	87	93	1187	934	28	66	207	348	398	31	117	57	44	273	33	80	277	0	107	319	248
