Geneid	Chr	Start	End	Strand	Length	SRR4302519	SRR4302520	SRR4302521	SRR4302522	SRR4302523	SRR4302524	SRR4302525	SRR4302526	SRR4302527	SRR4302528	SRR4302529	SRR4302530	SRR4343872	SRR4343873	SRR4343875	SRR4343876	SRR4343877	SRR4343878	SRR4343879	SRR4343880	SRR5146153	SRR5146154	SRR5146155	SRR5146214	SRR5146215	SRR5146216	SRR5146217	SRR5146218	SRR5146305	SRR5146306	SRR5146307	SRR5146308	SRR5146379	SRR5146380	SRR5150405	SRR5150407	SRR5150408	SRR5150409	SRR5150410
PF3D7_0100100	1	29510	37126	+	7617	275	4089	48	722	799	2102	799	687	206	341	171	309	141	274	3135	8040	1931	2054	13825	2743	1008	1826	1159	1980	1042	849	1325	5516	51	61	137	17	7	24	13	59	16	35	16
PF3D7_0100200	1	38982	40207	-	1226	41	542	8	95	117	271	117	54	30	43	35	50	29	31	501	699	136	333	1024	248	145	207	183	299	134	110	189	761	2	2	12	2	22	38	0	5	1	6	7
PF3D7_0100300	1	42367	46507	-	4141	112	1635	28	318	394	915	394	175	54	91	65	156	67	141	1253	5990	1299	799	8200	1651	333	763	535	901	502	314	580	2979	3	1	5	2	0	0	5	15	4	1	0
PF3D7_0100400	1	50363	51636	+	1274	35	682	11	91	158	425	158	70	24	51	29	57	21	70	683	839	218	374	993	250	168	298	214	386	226	119	224	1170	7	3	6	2	20	26	0	6	3	29	23
PF3D7_0100600	1	53778	55006	-	1229	29	515	3	104	108	331	108	39	11	35	19	34	12	48	485	980	205	335	1492	277	141	236	166	270	201	109	170	941	2	1	25	2	2	3	0	5	0	12	7
PF3D7_0100700	1	56690	56893	-	204	11	107	3	22	25	86	25	25	7	16	7	18	5	3	114	765	170	79	775	187	12	40	40	86	17	27	44	287	0	0	0	0	0	0	0	1	0	0	0
PF3D7_0100800	1	59772	61003	+	1232	50	616	11	125	184	443	184	45	20	32	30	63	26	79	544	3547	791	343	4769	832	163	282	198	392	143	104	186	1218	1	0	6	3	0	0	2	5	0	0	1
PF3D7_0100900	1	62187	63400	-	1214	45	737	10	153	186	475	186	88	22	59	22	57	25	71	556	3577	723	411	5244	961	186	297	231	429	327	127	230	1456	0	2	36	0	0	2	0	2	0	0	0
PF3D7_0101000	1	65817	66989	-	1173	53	673	18	120	185	461	185	38	14	29	28	36	17	97	560	3469	714	354	5411	834	180	325	207	404	238	136	239	1207	0	0	21	2	1	0	3	4	1	2	1
PF3D7_0101100	1	69304	70417	-	1114	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	9	0	0	14	5	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
