Geneid	Chr	Start	End	Strand	Length	ERR2216044	ERR2216045	ERR2216046	ERR2216047	ERR2216048	ERR2216049	ERR2216050	ERR2216051	ERR2216052	ERR2216053	ERR2216054	ERR2216055	ERR2216056	ERR2216057
PBANKA_010010	1	2964	4509	+	1546	3	1	0	0	1	2	17	22	26	18	6	13	5	7
PBANKA_010020	1	5878	7075	+	1198	7	19	0	3	21	7	191	226	157	127	87	106	372	317
PBANKA_010040	1	13433	15372	+	1940	2	2	0	1	0	1	22	21	32	30	791	843	283	229
PBANKA_010050	1	16641	18072	-	1432	0	0	0	0	0	0	10	8	40	27	101	120	832	1245
PBANKA_010060	1	19378	19860	+	483	1	0	0	0	0	1	25	17	150	138	199	202	218	266
PBANKA_010070	1	21904	23062	+	1159	4	5	0	2	5	7	76	86	168	184	1433	1792	12341	16502
PBANKA_010080	1	24148	28296	-	4149	76	90	5	2	46	21	94	78	133	132	82	97	228	207
PBANKA_010090	1	32842	36862	+	4021	136	174	8	16	224	111	567	441	506	339	379	338	3703	3959
PBANKA_010100	1	37985	39255	+	1271	30	26	8	3	117	43	143	177	165	102	56	46	28	27
PBANKA_010110	1	40254	41207	+	954	20	29	2	1	39	10	228	183	263	159	90	65	10	5
PBANKA_010120	1	41810	44969	-	3160	64	96	5	4	109	59	242	204	229	164	103	81	6	6
PBANKA_010130	1	45665	46819	+	1155	19	22	1	6	41	21	93	108	110	59	46	41	5	12
PBANKA_010140	1	47226	51670	-	4445	129	260	3	4	114	48	388	331	709	480	377	314	44	45
PBANKA_010150	1	54273	55676	-	1404	1	5	0	2	10	5	46	38	60	65	37	41	15	18
PBANKA_010160	1	56344	58368	+	2025	21	21	5	3	23	7	135	81	539	350	250	175	29	15
PBANKA_010170	1	58764	60211	-	1448	40	31	6	0	61	12	156	99	194	119	72	49	18	9
PBANKA_010180	1	62124	63623	+	1500	187	323	3	3	56	16	160	145	178	100	96	58	127	64
PBANKA_010190	1	64919	66355	-	1437	28	62	0	0	71	29	315	259	415	300	181	155	27	18
PBANKA_010200	1	68619	70043	+	1425	36	80	0	2	62	31	205	196	282	108	101	96	18	9
PBANKA_010210	1	70631	72184	-	1554	29	45	1	4	74	37	140	152	159	126	88	52	56	61
PBANKA_010220	1	73407	76112	-	2706	13	25	5	4	128	48	650	325	687	336	272	157	600	528
PBANKA_010230	1	79270	80592	+	1323	37	36	0	1	12	18	156	201	220	204	70	50	12	20
PBANKA_010240	1	81338	87252	-	5915	5	1	0	0	6	1	38	49	78	51	42	30	11	3
PBANKA_010250	1	89051	90484	+	1434	2	3	2	2	31	6	110	91	104	55	37	24	19	5
PBANKA_010260	1	90545	98466	-	7922	15	16	0	1	47	6	409	392	979	557	504	327	58	53
PBANKA_010270	1	99252	100370	-	1119	0	0	0	0	1	1	12	11	22	8	6	9	1	0
PBANKA_010280	1	101639	106168	-	4530	1	1	6	0	43	8	87	54	193	129	131	79	15	6
PBANKA_010290	1	108389	114175	-	5787	1	3	0	1	2	1	28	15	548	416	723	543	61	74
PBANKA_010300	1	117894	118616	+	723	9	6	0	5	32	8	72	56	174	105	79	58	14	3
PBANKA_010310	1	119281	121272	+	1992	1	4	0	3	25	7	103	68	144	71	52	34	15	4
PBANKA_010320	1	122082	123213	+	1132	0	0	0	0	1	1	3	3	6	3	7	9	2	0
PBANKA_010330	1	126075	132614	+	6540	77	99	16	19	337	106	671	400	660	341	363	236	867	763
PBANKA_010340	1	133178	134781	-	1604	5	6	3	1	18	14	120	83	89	46	32	22	2	2
PBANKA_010350	1	135555	138122	-	2568	4	19	0	0	29	4	58	30	72	49	57	46	3	3
PBANKA_010360	1	139125	140795	-	1671	3	1	0	0	5	1	16	9	16	15	14	10	2	0
PBANKA_010370	1	141553	142188	-	636	10	17	0	5	27	15	56	57	48	40	20	16	3	0
PBANKA_010380	1	142858	143442	+	585	17	32	1	3	71	30	132	115	122	85	29	30	1	2
PBANKA_010390	1	146949	149156	+	2208	393	411	10	9	85	33	389	265	502	326	312	209	139	135
PBANKA_010400	1	150234	151608	-	1375	81	103	2	2	92	29	152	190	208	188	67	96	13	2
PBANKA_010410	1	152445	153904	+	1460	19	39	7	0	69	32	191	207	307	221	177	165	21	43
PBANKA_010420	1	154510	154983	-	474	0	0	0	0	0	0	2	2	4	3	4	1	1	0
PBANKA_010430	1	155199	157128	-	1930	0	1	0	1	0	4	25	13	33	21	11	14	7	4
PBANKA_010440	1	157727	163651	-	5925	1	3	0	0	4	1	33	22	31	27	61	40	13	5
PBANKA_010450	1	165584	166363	+	780	15	12	0	0	1	1	24	10	15	16	10	10	3	1
PBANKA_010460	1	166878	172475	-	5598	2	6	5	6	102	33	292	174	240	170	333	277	135	81
