Geneid	Chr	Start	End	Strand	Length	SRR4302519	SRR4302520	SRR4302521	SRR4302522	SRR4302523	SRR4302524	SRR4302525	SRR4302526	SRR4302527	SRR4302528	SRR4302529	SRR4302530	SRR4343872	SRR4343873	SRR4343875	SRR4343876	SRR4343877	SRR4343878	SRR4343879	SRR4343880	SRR5146153	SRR5146154	SRR5146155	SRR5146214	SRR5146215	SRR5146216	SRR5146217	SRR5146218	SRR5146305	SRR5146306	SRR5146307	SRR5146308	SRR5146379	SRR5146380	SRR5150405	SRR5150407	SRR5150408	SRR5150409	SRR5150410
gene:PF3D7_0100100	1	29510	37126	+	7617	229	4039	51	774	708	2181	708	582	218	368	148	345	142	286	2948	7853	2155	2047	14128	2782	975	1824	1205	2024	960	818	1122	5473	135	665	248	143	1125	1648	19	188	25	379	123
gene:PF3D7_0100200	1	38982	40207	-	1226	24	562	15	81	113	344	113	47	21	47	39	50	30	45	576	821	277	342	1016	222	148	233	183	271	225	146	177	756	8	45	9	39	2	3	1	8	0	8	7
gene:PF3D7_0100300	1	42367	46507	-	4141	109	1486	29	313	379	941	379	176	37	85	71	135	63	176	1436	6394	1581	795	8065	1684	373	672	557	915	409	328	505	2778	2	2	4	3	26	62	5	5	5	4	0
gene:PF3D7_0100400	1	50363	51636	+	1274	49	718	12	115	180	424	180	67	20	53	14	54	29	64	599	747	228	362	1012	296	133	256	229	419	228	171	217	1117	0	4	1	0	0	0	4	28	11	0	2
gene:PF3D7_0100600	1	53778	55006	-	1229	30	435	5	100	147	341	147	65	18	17	21	40	21	44	491	999	203	340	1534	303	120	239	178	276	167	89	166	865	1	4	1	1	0	1	5	7	10	1	2
gene:PF3D7_0100700	1	56690	56893	-	204	5	105	2	20	29	62	29	23	2	3	4	4	3	4	109	875	225	67	860	164	21	35	35	68	54	26	35	269	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0100800	1	59772	61003	+	1232	44	740	14	102	174	404	174	57	15	45	28	61	15	80	571	3434	602	344	4791	849	142	250	183	391	129	90	191	1144	0	0	0	0	1	1	1	10	2	5	1
gene:PF3D7_0100900	1	62187	63400	-	1214	45	730	11	102	193	442	193	53	16	52	31	68	24	85	547	3453	766	413	5304	826	186	306	235	438	240	149	238	1339	1	2	6	0	0	0	1	2	3	0	1
gene:PF3D7_0101000	1	65817	66989	-	1173	47	667	9	100	198	494	198	52	22	42	23	42	22	74	536	3496	596	381	5330	825	204	336	170	373	185	111	210	1145	0	2	0	0	0	0	1	9	1	0	2
gene:PF3D7_0101100	1	69304	70417	-	1114	0	2	0	2	0	1	0	0	1	0	0	0	2	11	268	1003	217	0	14	2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1
gene:PF3D7_0101200	1	71624	72426	+	803	0	0	0	0	0	1	0	0	0	1	0	0	0	0	30	157	25	22	220	28	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
gene:PF3D7_0101300	1	74563	75366	+	804	17	179	4	36	39	120	39	27	4	20	8	13	7	11	214	1139	275	132	1443	311	43	82	52	137	33	35	68	391	1	2	2	1	0	0	1	1	0	0	0
gene:PF3D7_0101600	1	81765	83106	-	1342	37	565	10	69	194	426	194	38	20	53	21	43	24	47	521	1669	350	308	2262	409	130	290	187	282	208	87	165	973	1	1	2	1	2	2	0	10	1	2	0
gene:PF3D7_0101800	1	87203	88177	-	975	15	288	5	73	96	225	96	27	10	21	10	32	14	31	347	1979	423	210	2674	449	84	160	102	221	155	65	110	738	0	0	0	0	0	1	0	4	0	0	0
gene:PF3D7_0101900	1	90242	91420	-	1179	54	656	11	95	180	413	180	92	16	52	28	55	21	83	553	2915	667	396	4618	888	161	334	214	376	275	124	225	1148	1	1	2	0	1	1	1	6	2	1	1
gene:PF3D7_0102200	1	98819	102282	+	3464	154	2103	42	396	482	1254	482	196	39	88	66	185	70	237	1840	1148	515	1205	1122	723	373	716	660	1138	642	348	563	3371	24	93	97	49	18035	19669	7	17	9	674	57
gene:PF3D7_0102300	1	104704	105209	+	506	14	183	7	27	42	106	42	20	2	9	2	13	6	8	200	115	19	111	64	81	25	46	50	128	71	29	28	270	0	0	5	1	8	4	1	4	0	72	33
gene:PF3D7_0102500	1	110750	115799	-	5050	203	3003	50	613	624	1751	624	319	76	197	100	278	93	249	2587	1085	586	1691	845	1017	486	1157	991	1734	740	597	932	4489	52	260	160	189	334	773	5	52	10	48	8
gene:PF3D7_0102600	1	119041	121249	-	2209	92	1182	11	230	145	596	145	148	50	72	61	93	38	49	1078	496	254	693	285	376	191	329	369	717	283	258	350	1705	172	157	268	67	148	424	6	47	12	420	235
gene:PF3D7_0102700	1	124517	125484	+	968	42	469	6	92	85	238	85	105	53	113	5	27	16	12	449	209	96	261	125	197	95	156	141	281	91	256	78	445	287	949	221	340	120	370	1	19	5	78	61
gene:PF3D7_0102800	1	126318	128141	-	1824	71	582	8	141	37	219	37	117	81	130	10	38	17	7	729	242	163	428	162	341	38	101	145	568	105	254	160	1011	5	7	7	3	3	5	7	58	14	110	72
gene:PF3D7_0102900	1	128960	130840	-	1881	71	1191	17	289	109	446	109	176	64	129	43	95	32	30	926	348	264	628	258	356	183	274	347	717	189	280	260	1527	5	13	11	4	929	2375	34	284	46	771	463
gene:PF3D7_0103000	1	132086	133624	-	1539	32	554	7	123	40	208	40	86	50	92	10	44	21	12	546	272	132	323	135	221	37	91	145	396	69	237	155	684	22	94	19	24	11	6	25	277	44	518	629
gene:PF3D7_0103100	1	134353	139257	-	4905	223	2851	31	477	224	1262	224	346	191	262	88	224	97	66	2497	1050	513	1521	667	1071	272	609	805	2053	469	887	868	3927	80	52	71	19	20	30	26	329	40	732	52
gene:PF3D7_0103200	1	140662	142219	-	1558	78	944	9	189	77	399	77	156	127	191	27	87	32	21	936	349	246	519	197	379	124	248	304	621	116	460	268	1202	12	9	207	5	274	1090	37	363	62	445	312
gene:PF3D7_0103300	1	143640	146396	-	2757	133	1700	23	290	145	703	145	240	96	203	45	129	60	26	1499	617	286	854	374	537	226	388	461	1107	360	524	421	2353	96	138	107	51	781	1272	45	423	66	836	141
gene:PF3D7_0103400	1	147915	152777	-	4863	203	2908	37	495	263	1347	263	351	269	411	73	191	121	80	2439	963	740	1514	630	1044	391	784	890	1972	609	1092	894	3923	789	1257	749	283	148	186	87	1456	222	5203	885
gene:PF3D7_0103500	1	154176	160426	+	6251	255	3006	49	537	207	1244	207	375	292	526	78	254	100	82	2679	963	738	1626	673	1180	248	506	778	2178	488	1179	948	4024	127	113	106	19	11	15	4	111	30	335	68
