"Geneid" "Chr" "Start" "End" "Strand" "Length" "SRR1571697" "SRR1571698" "SRR1571699" "SRR1571700" "SRR1571701" "SRR1571702" "SRR1571703" "SRR1571704" "SRR1571705" "SRR1571706" "SRR1571707" "SRR1571708" "SRR1571709" "SRR1571710" "SRR1571711" "SRR1571712" "SRR1571713" "SRR1571714" "SRR1571715" "SRR5298122" "SRR5298123" "SRR5298124" "SRR5298125" "SRR5298126" "SRR5298127" "SRR5298128" "SRR5298129" "SRR5298130" "SRR5298131" "SRR5298132" "SRR5298133" "SRR5298134" "SRR5298135"
"PVX_000000" "3" 952106 952576 "-" 471 12 3 3 3 1 6 7 23 12 5 5 4 3 9 19 15 17 9 3 401 415 141 151 296 348 81 97 287 337 128 162 40 60
"PVX_000005" "3" 956829 958054 "-" 1226 304 114 147 117 87 200 385 604 374 216 321 142 114 317 565 549 611 597 90 842 912 309 400 673 780 163 223 606 660 393 437 79 125
"PVX_000010" "3" 962065 964031 "-" 1967 19209 9000 11733 6610 5066 6164 8799 28135 19798 9970 16628 5254 3607 7285 13781 19238 19808 20929 3128 1311 1366 466 518 975 1075 253 285 962 955 528 563 117 218
"PVX_000015" "3" 968022 969269 "-" 1248 228 13 3 5 1 36 67 248 75 61 74 16 18 79 161 118 112 134 19 780 862 269 299 714 751 132 157 562 618 441 500 141 156
"PVX_000020" "3" 977930 978898 "-" 969 7 6 13 7 1 10 12 22 13 21 22 3 6 15 22 21 17 23 1 635 699 225 261 524 586 118 115 514 457 253 252 70 138
"PVX_000025" "3" 985191 985723 "+" 533 3 3 4 1 4 6 2 9 2 2 4 4 1 3 3 9 10 9 0 138 109 38 25 105 98 72 90 301 292 99 115 8 22
"PVX_000525" "3" 515977 524322 "-" 8346 182 53 795 797 674 614 876 580 114 246 1546 598 388 517 884 1352 1250 1344 210 3888 4001 5291 5685 2943 3200 3590 3964 2929 3163 2474 2686 91 200
"PVX_000530" "3" 496561 514371 "-" 17811 273 194 299 116 311 890 1525 332 317 145 231 128 212 656 1105 830 802 852 135 7212 8125 8439 9416 5498 6172 5955 6504 5765 6346 4880 5309 229 403
"PVX_000535" "3" 492671 495448 "-" 2778 212 143 133 38 25 59 123 240 229 126 127 33 31 57 136 162 192 189 37 1075 1127 2539 2734 790 851 1744 1925 805 872 671 782 105 50
"PVX_000540" "3" 487434 491372 "-" 3939 78 35 66 25 19 61 141 88 68 35 45 20 17 68 165 117 102 125 28 1327 1497 2370 2584 1032 1218 1765 1910 1140 1301 988 1057 54 63
"PVX_000545" "3" 484088 486199 "-" 2112 697 539 961 680 255 146 114 946 807 592 1247 284 120 107 185 1049 976 1111 189 622 709 1368 1625 389 482 823 1054 504 588 409 466 30 36
"PVX_000550" "3" 478084 482200 "-" 4117 411 195 478 332 430 825 1437 562 329 281 635 311 307 747 1425 1081 1095 1135 161 1368 1524 2124 2459 1032 1142 1368 1611 1077 1226 861 1065 66 76
"PVX_000555" "3" 475102 476845 "+" 1744 173 104 277 154 313 773 1080 251 171 154 326 113 193 599 782 763 670 702 105 757 777 2003 2177 539 577 1617 1623 607 665 478 567 36 44
"PVX_000560" "3" 469619 471793 "+" 2175 202 175 264 158 96 54 70 301 273 159 326 86 38 58 99 335 318 342 57 664 738 1182 1361 513 534 904 1071 538 602 400 508 36 30
"PVX_000565" "3" 466211 468316 "+" 2106 354 198 264 206 177 278 189 613 329 167 419 169 141 268 315 534 508 564 80 717 767 1762 1874 500 532 1120 1226 568 572 486 548 27 34
"PVX_000570" "3" 464136 465318 "-" 1183 53 32 66 31 54 90 68 70 46 28 79 40 26 64 106 126 94 115 12 389 442 1206 1283 290 323 807 1009 305 361 282 282 12 27
"PVX_000575" "3" 461303 463941 "+" 2639 211 136 235 102 124 237 240 312 229 112 242 77 85 227 254 338 367 364 54 928 983 2615 2886 719 795 1818 1969 753 884 667 721 46 63
"PVX_000580" "3" 457130 460502 "+" 3373 138 339 431 80 37 75 104 345 504 305 334 30 27 84 132 389 394 389 62 949 1246 2451 2993 774 865 1620 1941 774 972 638 712 93 43
