Geneid	Chr	Start	End	Strand	Length	SRR7059090	SRR7059091	SRR7059092	SRR7059093	SRR7059094	SRR7059095	SRR7059096	SRR7059097	SRR7059098	SRR7059099	SRR7059100
gene:PF3D7_0100100	1	29510	37126	+	7617	131	222	193	5013	1811	4254	4	9	7	8	2
gene:PF3D7_0100200	1	38982	40207	-	1226	1	1	1	26	11	24	0	0	2	0	0
gene:PF3D7_0100300	1	42367	46507	-	4141	0	1	2	0	0	0	1	1	2	1	1
gene:PF3D7_0100400	1	50363	51636	+	1274	3	3	3	0	1	0	1	1	2	0	0
gene:PF3D7_0100600	1	53778	55006	-	1229	0	0	1	1	0	1	0	0	0	0	1
gene:PF3D7_0100700	1	56690	56893	-	204	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0100800	1	59772	61003	+	1232	1	1	1	1	0	0	1	1	1	1	1
gene:PF3D7_0100900	1	62187	63400	-	1214	0	0	0	0	2	0	1	0	0	2	0
gene:PF3D7_0101000	1	65817	66989	-	1173	0	0	0	0	0	0	1	0	0	0	0
gene:PF3D7_0101100	1	69304	70417	-	1114	0	0	0	0	0	0	0	0	0	1	0
gene:PF3D7_0101200	1	71624	72426	+	803	0	0	0	1	0	0	0	0	0	0	0
gene:PF3D7_0101300	1	74563	75366	+	804	0	0	0	0	0	0	0	0	0	0	1
gene:PF3D7_0101600	1	81765	83106	-	1342	0	1	0	0	0	0	0	1	0	0	1
gene:PF3D7_0101800	1	87203	88177	-	975	0	0	0	0	0	0	1	0	0	2	0
gene:PF3D7_0101900	1	90242	91420	-	1179	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0102200	1	98819	102282	+	3464	1	2	2	6	1	4	2	1	2	2	0
gene:PF3D7_0102300	1	104704	105209	+	506	0	0	0	0	0	0	1	0	0	0	1
gene:PF3D7_0102500	1	110750	115799	-	5050	20	7	5	33	30	21	0	1	3	6	4
gene:PF3D7_0102600	1	119041	121249	-	2209	1	5	1	155	62	153	1	1	0	1	0
gene:PF3D7_0102700	1	124517	125484	+	968	31	66	77	502	214	334	0	0	0	0	0
gene:PF3D7_0102800	1	126318	128141	-	1824	1	2	0	10	9	19	0	0	0	0	1
gene:PF3D7_0102900	1	128960	130840	-	1881	4	13	4	19	12	25	71	46	25	5	5
gene:PF3D7_0103000	1	132086	133624	-	1539	7	20	1	113	39	96	1	4	1	1	0
gene:PF3D7_0103100	1	134353	139257	-	4905	4	10	1	9	14	22	1	2	2	1	0
gene:PF3D7_0103200	1	140662	142219	-	1558	20	37	12	8	4	9	0	0	1	0	0
gene:PF3D7_0103300	1	143640	146396	-	2757	29	43	17	108	36	75	0	0	0	0	1
gene:PF3D7_0103400	1	147915	152777	-	4863	124	200	82	775	237	568	1	3	1	10	1
gene:PF3D7_0103500	1	154176	160426	+	6251	0	9	4	46	26	51	1	2	0	2	0
gene:PF3D7_0103600	1	161131	166229	+	5099	6	44	21	69	29	43	0	0	1	10	3
gene:PF3D7_0103700	1	166513	168687	+	2175	14	37	26	132	103	146	1	1	0	0	0
gene:PF3D7_0103800	1	169079	171273	-	2195	368	482	184	34	10	24	3	1	0	6	0
gene:PF3D7_0103900	1	172864	174591	+	1728	12	38	24	8	3	10	0	1	0	1	1
gene:PF3D7_0104000	1	175609	176376	+	768	2713	5380	4453	40041	16981	33668	0	2	2	6	0
gene:PF3D7_0104100	1	178087	180790	+	2704	2698	5367	5105	32232	19302	32143	2	3	2	2	2
gene:PF3D7_0104200	1	182822	184222	-	1401	29	48	37	899	362	977	1	1	0	0	0
gene:PF3D7_0104300	1	190269	201230	+	10962	460	536	370	1396	735	1747	6	2	4	14	8
gene:PF3D7_0104400	1	202536	204143	+	1608	200	387	362	1582	950	1025	1	1	1	1	0
gene:PF3D7_0104500	1	204622	205455	-	834	3	4	2	0	0	0	1	0	0	0	0
gene:PF3D7_0104600	1	206170	210189	+	4020	0	3	0	0	0	1	0	2	0	0	2
gene:PF3D7_0104700	1	210870	213005	+	2136	2	1	1	0	1	0	7	2	3	4	2
gene:PF3D7_0104800	1	215776	217509	+	1734	12	52	28	296	206	222	0	1	1	1	1
gene:PF3D7_0105100	1	221202	221633	+	432	0	0	1	0	0	0	1	0	1	4	2
gene:PF3D7_0105200	1	222254	223960	-	1707	4	2	5	24	15	30	3	8	11	3	0
gene:PF3D7_0105300	1	225110	225779	-	670	88	100	39	15	8	21	0	2	1	0	0
gene:PF3D7_0105400.1	1	226681	227285	-	605	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0105400.2	1	226681	227285	-	605	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0105500	1	228485	229519	-	1035	0	2	1	5	1	1	0	0	0	0	0
gene:PF3D7_0105600	1	230289	234402	-	4114	51	98	82	2148	1358	1964	2	3	1	1	4
gene:PF3D7_0105700	1	238666	247857	+	9192	149	221	121	875	402	735	2	3	1	3	2
gene:PF3D7_0105800	1	249231	252010	-	2780	40	115	69	495	269	451	1	2	0	2	4
gene:PF3D7_0105900	1	253584	254930	+	1347	8	24	12	57	42	58	1	1	2	7	7
gene:PF3D7_0106000	1	255775	258543	-	2769	11	57	31	191	114	184	10	4	2	16	17
gene:PF3D7_0106100	1	260658	261809	-	1152	9	16	26	48	30	48	0	1	0	1	0
gene:PF3D7_0106200	1	263340	264223	-	884	13	21	25	60	54	54	0	0	0	0	0
gene:PF3D7_0106300	1	265208	269173	-	3966	473	854	724	4241	1979	3911	31	19	15	33	21
gene:PF3D7_0106400	1	272454	273404	+	951	8	24	22	48	31	51	0	6	3	4	3
gene:PF3D7_0106500	1	274315	278550	+	4236	2	22	15	12	2	5	1	1	1	4	1
gene:PF3D7_0106600	1	279115	280014	+	900	168	310	179	1	0	0	5	1	5	3	2
gene:PF3D7_0106700	1	281155	285459	+	4305	321	250	209	473	193	412	31	22	25	128	60
gene:PF3D7_0106800	1	286951	288918	+	1968	284	167	152	66	47	48	2	11	8	6	3
gene:PF3D7_0106900	1	290386	292590	+	2205	13	43	21	2	4	0	3	0	1	10	8
gene:PF3D7_0107000.1	1	293642	294968	+	1327	60	118	79	68	44	72	17	6	5	3	6
gene:PF3D7_0107100	1	295300	296931	-	1632	22	37	28	778	397	754	0	0	0	1	1
gene:PF3D7_0107200	1	297362	299397	+	2036	23	24	9	5	2	3	0	1	1	4	0
gene:PF3D7_0107300	1	299562	300868	-	1307	51	223	206	4278	2782	4180	2	0	1	0	1
gene:PF3D7_0107400	1	302937	303398	+	462	20	49	34	307	116	326	0	2	0	1	1
gene:PF3D7_0107500	1	304362	309257	-	4896	88	218	212	1591	844	1812	5	5	4	9	4
gene:PF3D7_0107600	1	314618	319405	+	4788	197	814	855	4475	3450	4514	3	1	4	14	6
gene:PF3D7_0107700	1	320168	321508	+	1341	66	200	169	1083	893	1184	1	0	0	1	0
