Geneid	Chr	Start	End	Strand	Length	SRR935544	SRR935549	SRR935553	SRR935554	SRR935555	SRR935557	SRR935558	SRR935559	SRR935560
PBANKA_010010	1	2964	4509	+	1546	114	22	102	263	19	36	208	91	60
PBANKA_010020	1	5878	7075	+	1198	1723	656	1544	3037	229	674	1479	773	287
PBANKA_010040	1	13433	15372	+	1940	581	463	160	122	3709	2821	234	284	212
PBANKA_010050	1	16641	18072	-	1432	986	505	439	1076	282	614	562	323	225
PBANKA_010060	1	19378	19860	+	483	2039	451	485	720	3754	5523	519	260	301
PBANKA_010070	1	21904	23062	+	1159	5849	3965	2622	4190	1850	3249	918	457	765
PBANKA_010080	1	24148	28296	-	4149	623	784	357	1264	451	1024	3575	7923	384
PBANKA_010090	1	32842	36862	+	4021	1214	1721	760	2249	246	783	939	1101	3681
PBANKA_010100	1	37985	39255	+	1271	578	292	617	1155	94	357	39	30	468
PBANKA_010110	1	40254	41207	+	954	52	20	68	53	45	120	175	84	68
PBANKA_010120	1	41810	44969	-	3160	699	231	559	1413	306	960	168	130	2929
PBANKA_010130	1	45665	46819	+	1155	373	67	289	564	64	223	44	34	435
PBANKA_010140	1	47226	51670	-	4445	955	700	1001	2708	995	3126	877	1642	638
PBANKA_010150	1	54273	55676	-	1404	444	296	120	309	167	382	8555	7444	399
PBANKA_010160	1	56344	58368	+	2025	267	361	178	440	131	382	118	85	169
PBANKA_010170	1	58764	60211	-	1448	513	242	263	848	179	745	907	619	737
PBANKA_010180	1	62124	63623	+	1500	2154	1136	659	2056	362	944	8847	6918	6226
PBANKA_010190	1	64919	66355	-	1437	295	96	294	820	381	1539	441	380	140
PBANKA_010200	1	68619	70043	+	1425	145	25	355	477	173	511	111	81	145
PBANKA_010210	1	70631	72184	-	1554	840	464	270	646	164	445	1703	1619	663
PBANKA_010220	1	73407	76112	-	2706	1257	1943	795	3085	174	807	677	1093	777
PBANKA_010230	1	79270	80592	+	1323	104	26	458	565	134	336	653	294	321
PBANKA_010240	1	81338	87252	-	5915	67	57	333	513	121	289	412	1451	71
PBANKA_010250	1	89051	90484	+	1434	135	24	255	369	92	198	426	218	349
PBANKA_010260	1	90545	98466	-	7922	806	398	408	600	1354	6145	2003	2003	7674
PBANKA_010270	1	99252	100370	-	1119	192	57	45	160	86	151	1282	1363	475
PBANKA_010280	1	101639	106168	-	4530	565	553	631	2291	301	1206	933	763	766
PBANKA_010290	1	108389	114175	-	5787	581	535	83	85	4003	16093	2803	3722	117
PBANKA_010300	1	117894	118616	+	723	138	13	96	111	124	171	353	124	1574
PBANKA_010310	1	119281	121272	+	1992	330	131	319	776	138	444	322	218	321
PBANKA_010320	1	122082	123213	+	1132	336	100	26	44	137	88	9328	4381	1080
PBANKA_010330	1	126075	132614	+	6540	4551	10228	5271	18530	1083	4840	2322	5642	3293
PBANKA_010340	1	133178	134781	-	1604	220	53	322	551	99	270	586	365	450
PBANKA_010350	1	135555	138122	-	2568	224	121	153	306	155	467	221	191	639
PBANKA_010360	1	139125	140795	-	1671	96	34	60	123	42	74	112	49	107
PBANKA_010370	1	141553	142188	-	636	92	15	133	394	27	75	190	108	84
PBANKA_010380	1	142858	143442	+	585	221	24	396	814	62	200	125	76	203
PBANKA_010390	1	146949	149156	+	2208	2599	1248	888	2920	569	1752	2273	1513	2729
PBANKA_010400	1	150234	151608	-	1375	208	39	279	556	171	500	1307	649	853
PBANKA_010410	1	152445	153904	+	1460	132	52	145	128	170	415	1604	655	228
PBANKA_010420	1	154510	154983	-	474	65	16	54	109	47	93	568	166	75
PBANKA_010430	1	155199	157128	-	1930	82	50	175	372	85	265	205	96	77
PBANKA_010440	1	157727	163651	-	5925	285	147	94	99	300	918	2549	2094	304
PBANKA_010450	1	165584	166363	+	780	299	123	18	41	120	124	8977	6621	2282
PBANKA_010460	1	166878	172475	-	5598	448	461	2407	6987	1162	3711	1431	4702	1308
PBANKA_010470	1	175067	176620	+	1554	281	69	582	450	569	682	1614	520	283
PBANKA_010480	1	177115	180117	-	3003	1225	1171	441	1226	596	1438	567	676	323
PBANKA_010490	1	183218	185406	+	2189	4022	1984	1815	6579	386	1861	1217	2050	1573
PBANKA_010500	1	186476	187292	-	817	249	93	173	320	233	406	567	216	1212
PBANKA_010510	1	188684	189452	-	769	308	121	49	35	74	89	9064	5059	165
PBANKA_010520	1	190452	193016	-	2565	1128	801	700	1411	414	1169	264	225	341
PBANKA_010530	1	195031	200510	-	5480	1181	1895	1400	4311	548	1885	622	1884	1949
PBANKA_010540	1	203081	207619	+	4539	1975	729	2388	6207	1396	5455	1138	1188	1239
PBANKA_010550	1	208597	209247	-	651	743	385	620	1422	130	434	348	191	1832
PBANKA_010560	1	211648	214449	+	2802	4604	8973	3383	15591	522	3342	479	3012	1383
PBANKA_010570	1	215460	218569	+	3110	58	30	75	146	67	78	785	398	866
PBANKA_010580	1	219124	220438	-	1315	230	36	293	490	216	697	1068	751	362
PBANKA_010590	1	221536	222934	+	1399	132	50	184	286	181	488	728	420	159
PBANKA_010600	1	223425	226759	-	3335	389	116	543	1034	794	1620	1267	556	1341
PBANKA_010610	1	227884	229266	+	1383	164	78	252	509	124	298	583	288	522
PBANKA_010620	1	229639	232397	-	2759	261	100	134	198	199	492	1804	1254	236
PBANKA_010630	1	236742	243269	+	6528	1438	1960	223	296	4823	13834	15381	51915	372
PBANKA_010640	1	244130	245994	-	1865	419	150	281	803	245	425	195	219	1008
PBANKA_010650	1	246857	249220	+	2364	759	407	1014	3286	175	647	185	317	2579
PBANKA_010660	1	249527	251681	-	2155	374	75	564	1259	142	369	241	124	1398
PBANKA_010670	1	252201	255734	+	3534	567	510	1349	5061	422	2149	503	833	1789
PBANKA_010680	1	255883	256743	-	861	198	49	251	444	120	273	526	225	838
PBANKA_010690	1	257208	260459	+	3252	863	324	785	2575	450	1534	1235	1193	1454
PBANKA_010695	1	261048	262412	+	1365	297	105	239	518	131	333	333	114	203
PBANKA_010700	1	262880	263290	-	411	168	42	185	303	170	515	710	282	539
PBANKA_010710	1	264343	265295	-	953	768	98	1604	2878	390	1252	658	251	281
PBANKA_010720	1	267131	268205	+	1075	207	51	45	179	77	284	1900	1120	1554
PBANKA_010730	1	269623	271338	+	1716	1570	391	3194	7230	392	1502	698	501	442
PBANKA_010740	1	273369	274613	+	1245	267	68	807	1764	305	1072	601	509	271
PBANKA_010750	1	275681	278492	+	2812	286	125	396	683	248	579	489	339	670
PBANKA_010760	1	280540	296862	+	16323	1255	2556	2224	5683	2016	9764	603	1818	752
PBANKA_010770	1	297421	299212	-	1792	1604	696	603	1378	158	270	1196	552	4290
PBANKA_010780	1	300748	302278	+	1531	189	51	71	116	48	88	606	239	1487
PBANKA_010790	1	303376	305899	+	2524	789	377	295	866	850	2739	1106	1202	2471
PBANKA_010800	1	306323	308131	-	1809	343	176	236	694	333	1027	506	286	676
PBANKA_010810	1	310231	314769	+	4539	155	46	83	108	171	279	804	555	235
PBANKA_010820	1	316589	321493	+	4905	1611	1694	721	2452	1123	3633	756	1311	1247
PBANKA_010830	1	322516	323742	-	1227	376	90	29	39	1136	2594	5428	2936	289
PBANKA_010840	1	326646	331889	+	5244	875	290	990	3163	1147	4233	1372	1988	609
PBANKA_010850	1	332571	333811	+	1241	706	277	361	1212	70	336	207	162	549
PBANKA_010860	1	334074	335856	-	1783	1852	1177	1123	3893	395	1754	397	690	2352
PBANKA_010870	1	337036	339075	-	2040	1985	2856	1921	8711	458	2883	1849	6910	4737
PBANKA_010880	1	342642	343052	+	411	666	192	162	177	2562	5315	4015	1407	1284
PBANKA_010890	1	343565	344138	-	574	332	97	428	856	80	141	110	44	69
PBANKA_010900	1	345906	346887	+	982	362	69	386	914	69	309	132	79	866
PBANKA_010910	1	347159	349171	+	2013	1735	481	3196	7983	653	2653	952	733	7298
PBANKA_010920	1	349901	353425	-	3525	842	2085	1420	4757	684	3070	349	1863	865
PBANKA_010930	1	355041	356159	-	1119	423	79	131	332	539	1282	689	326	184
PBANKA_010940	1	357667	357933	-	267	50	6	97	212	68	193	123	46	34
PBANKA_010950	1	358938	360034	+	1097	451	58	640	1437	216	645	564	264	507
PBANKA_010960	1	361253	362393	+	1141	383	71	633	1238	342	1274	884	501	524
PBANKA_010970	1	362742	365150	-	2409	993	634	700	1742	381	1358	1416	1407	992
PBANKA_010980	1	372976	374088	-	1113	289	136	14	23	149	152	7689	6180	156
PBANKA_010990	1	375468	377321	-	1854	1357	599	78	116	1966	4363	15231	15370	912
PBANKA_011000	1	378604	379080	-	477	4180	1623	1428	2280	280	994	807	251	4895
PBANKA_011010	1	380430	388759	-	8330	829	1225	715	1976	1029	3788	1870	3401	754
PBANKA_011020	1	391917	392836	+	920	558	140	241	558	309	458	629	392	863
PBANKA_011030	1	393408	393879	-	472	148	45	16	33	207	518	51	9	130
PBANKA_011040	1	394826	396532	-	1707	1917	977	915	2243	238	589	723	455	1959
PBANKA_011050	1	398038	404879	-	6842	622	1373	678	2563	3830	17848	2268	20025	988
PBANKA_011060	1	406156	406509	+	354	56	11	18	54	113	262	154	102	60
PBANKA_011070	1	406536	407240	+	705	73	24	49	87	181	312	1426	498	176
PBANKA_011080	1	407585	407944	-	360	403	96	11	42	108	100	9442	3827	1139
PBANKA_011090	1	408597	409814	-	1218	282	238	231	633	51	149	1559	951	1077
PBANKA_011100	1	410771	411775	-	1005	345	145	81	123	1643	2999	129	101	637
PBANKA_011110	1	412401	413384	-	984	251	157	166	476	164	355	197	133	1707
PBANKA_011120	1	415503	417536	+	2034	2375	2047	821	2556	323	738	1036	975	5308
PBANKA_011130.1	1	418471	420300	-	1830	1	0	67	15	11	3	7	1	10
PBANKA_011130.2	1	418496	420300	-	1805	0	0	0	0	0	0	0	0	0
PBANKA_011140	1	422420	423186	+	767	441	124	249	352	305	387	1166	351	2008
PBANKA_011150	1	424199	424485	+	287	148	23	84	133	82	172	342	142	185
PBANKA_011160	1	425205	428881	-	3677	509	199	91	124	2869	5826	485	465	1936
PBANKA_011170	1	430755	431522	+	768	291	176	268	613	430	811	1301	1063	520
PBANKA_011180	1	431734	434736	-	3003	811	387	566	1656	349	1072	611	587	1204
PBANKA_011190	1	439763	441838	+	2076	373	182	245	663	909	1966	568	652	2807
PBANKA_011200	1	442241	444187	-	1947	977	461	437	1161	312	963	424	346	9630
PBANKA_011210	1	448107	455919	+	7813	1181	1341	181	227	8897	47179	732	3138	187
PBANKA_011220	1	456330	462206	-	5877	286	606	91	105	2632	7508	102	660	202
PBANKA_011230	1	465081	467618	-	2538	223	155	234	578	970	2796	266	641	281
PBANKA_011240	1	468662	471097	-	2436	627	630	331	809	299	487	332	300	1653
PBANKA_011250	1	472354	474611	-	2258	921	570	322	925	335	502	312	230	796
PBANKA_011260	1	477226	478737	+	1512	1909	1481	1099	3829	311	1638	144	191	85
PBANKA_100010	10	1703	10034	+	8332	99	140	237	388	172	353	43	137	142
