Geneid	Chr	Start	End	Strand	Length	ERR435801	ERR435802	ERR435803	ERR435804	ERR435805	ERR435806	ERR435807	ERR435808
gene:PBANKA_010010	1	2964	4509	+	1546	4	35	4	3	4	8	11	6
gene:PBANKA_010020	1	5878	7075	+	1198	83	800	32	68	53	45	59	28
gene:PBANKA_010040	1	13433	15372	+	1940	3	49	6	6	0	0	4	2
gene:PBANKA_010050	1	16641	18072	-	1432	7	55	2	8	7	5	12	6
gene:PBANKA_010060	1	19378	19860	+	483	1	31	3	0	10	8	8	7
gene:PBANKA_010070	1	21904	23062	+	1159	23	366	19	49	46	49	39	33
gene:PBANKA_010080	1	24148	28296	-	4149	265	2806	125	32	8	16	34	17
gene:PBANKA_010090	1	32842	36862	+	4021	196	1516	370	119	22	18	25	17
gene:PBANKA_010100	1	37985	39255	+	1271	7	39	3	10	8	4	3	3
gene:PBANKA_010110	1	40254	41207	+	954	17	166	7	12	2	3	8	6
gene:PBANKA_010120	1	41810	44969	-	3160	250	1592	241	132	27	45	66	60
gene:PBANKA_010130	1	45665	46819	+	1155	29	325	54	68	10	12	12	5
gene:PBANKA_010140	1	47226	51670	-	4445	426	3199	228	101	46	48	104	72
gene:PBANKA_010150	1	54273	55676	-	1404	106	874	89	112	73	88	153	95
gene:PBANKA_010160	1	56344	58368	+	2025	27	139	10	12	5	8	10	8
gene:PBANKA_010170	1	58764	60211	-	1448	133	947	136	133	63	91	135	78
gene:PBANKA_010180	1	62124	63623	+	1500	745	5792	497	458	227	260	419	266
gene:PBANKA_010190	1	64919	66355	-	1437	62	513	24	56	29	42	47	26
gene:PBANKA_010200	1	68619	70043	+	1425	100	725	34	59	22	29	23	19
gene:PBANKA_010210	1	70631	72184	-	1554	165	1421	95	172	82	86	142	97
gene:PBANKA_010220	1	73407	76112	-	2706	170	860	120	113	78	74	200	119
gene:PBANKA_010230	1	79270	80592	+	1323	106	866	49	51	46	60	38	26
gene:PBANKA_010240	1	81338	87252	-	5915	55	354	32	16	17	15	33	24
gene:PBANKA_010250	1	89051	90484	+	1434	14	139	12	9	8	12	21	14
gene:PBANKA_010260	1	90545	98466	-	7922	1929	12014	1792	666	366	476	1209	790
gene:PBANKA_010270	1	99252	100370	-	1119	30	214	20	24	22	28	46	32
gene:PBANKA_010280	1	101639	106168	-	4530	175	1180	182	140	68	63	105	76
gene:PBANKA_010290	1	108389	114175	-	5787	173	1485	88	29	6	4	8	11
gene:PBANKA_010300	1	117894	118616	+	723	166	1346	184	253	373	284	386	346
gene:PBANKA_010310	1	119281	121272	+	1992	176	1209	87	95	47	45	100	91
