Geneid	Chr	Start	End	Strand	Length	SRR1605330	SRR1605331	SRR1605332	SRR1605333	SRR1605334	SRR1605335	SRR1605336	SRR1605337	SRR1605338	SRR1605339	SRR1605340	SRR1605341	SRR1605342	SRR1605343	SRR1605344	SRR1605345	SRR1605346	SRR1605347
PF3D7_0100100	1	29510	37126	+	7617	0	3	0	1	1	3	0	1	2	1	0	1	3	2	0	0	2	0
PF3D7_0100200	1	38982	40207	-	1226	1	0	0	0	0	0	0	0	1	2	0	1	1	1	3	2	0	0
PF3D7_0100300	1	42367	46507	-	4141	3	3	2	2	6	2	2	2	0	0	2	1	1	0	0	0	2	2
PF3D7_0100400	1	50363	51636	+	1274	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
PF3D7_0100600	1	53778	55006	-	1229	1	4	0	0	13	21	6	3	0	1	14	8	4	2	3	4	13	6
PF3D7_0100700	1	56690	56893	-	204	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PF3D7_0100800	1	59772	61003	+	1232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0100900	1	62187	63400	-	1214	1	0	0	0	0	1	1	0	0	1	0	0	2	0	0	2	0	0
PF3D7_0101000	1	65817	66989	-	1173	4	4	2	0	1	3	8	6	0	0	1	1	8	8	1	4	1	0
PF3D7_0101100	1	69304	70417	-	1114	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PF3D7_0101200	1	71624	72426	+	803	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
PF3D7_0101300	1	74563	75366	+	804	5	0	13	5	2	1	0	1	1	2	0	0	1	1	4	8	0	1
PF3D7_0101600	1	81765	83106	-	1342	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0
PF3D7_0101800	1	87203	88177	-	975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0101900	1	90242	91420	-	1179	1	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0
PF3D7_0102200	1	98819	102282	+	3464	2751	12398	18	55	2559	1894	3601	3440	89	82	775	1126	2681	3278	304	403	1202	1326
PF3D7_0102300	1	104704	105209	+	506	16	23	489	422	93	118	14	6	351	373	102	103	11	7	222	291	105	124
PF3D7_0102500	1	110750	115799	-	5050	83	494	16	12	913	506	39	48	18	13	297	331	39	41	163	233	479	282
PF3D7_0102600	1	119041	121249	-	2209	37	37	4	7	135	229	20	26	3	6	79	43	38	49	132	184	61	38
PF3D7_0102700	1	124517	125484	+	968	27	205	13	11	49	42	90	72	12	10	30	30	100	114	31	50	40	36
PF3D7_0102800	1	126318	128141	-	1824	1	3	30	18	5	5	3	2	17	20	5	4	4	1	14	18	7	9
PF3D7_0102900	1	128960	130840	-	1881	222	336	402	319	105	104	269	203	273	292	71	55	199	191	189	284	73	86
PF3D7_0103000	1	132086	133624	-	1539	2	11	31	40	31	34	3	2	19	23	23	15	2	5	15	37	37	35
PF3D7_0103100	1	134353	139257	-	4905	2	18	21	21	53	48	1	1	26	25	26	33	3	4	30	55	39	29
PF3D7_0103200	1	140662	142219	-	1558	128	147	512	552	166	244	131	76	334	321	155	142	113	100	221	236	191	244
PF3D7_0103300	1	143640	146396	-	2757	43	137	80	78	84	80	24	32	83	97	76	42	39	49	91	119	85	44
PF3D7_0103400	1	147915	152777	-	4863	60	216	185	117	401	211	17	22	155	158	140	140	27	25	183	252	210	182
