Geneid	Chr	Start	End	Strand	Length	SRR1571697	SRR1571698	SRR1571699	SRR1571700	SRR1571701	SRR1571702	SRR1571703	SRR1571704	SRR1571705	SRR1571706	SRR1571707	SRR1571708	SRR1571709	SRR1571710	SRR1571711	SRR1571712	SRR1571713	SRR1571714	SRR1571715
PVX_087670	1	8396	10210	+	1815	1098	470	529	110	53	299	627	1531	1284	651	639	111	167	581	921	1015	925	903	132
PVX_087675	1	12445	14619	-	2175	773	407	531	92	32	159	298	1180	1035	524	594	64	82	279	489	792	801	821	113
PVX_087680	1	23278	25230	+	1953	11	1	1	1	1	9	54	6	5	3	3	0	4	23	96	20	27	19	3
PVX_087685	1	31271	33154	-	1884	158	151	240	62	14	32	64	276	258	169	246	34	12	41	103	195	212	232	32
PVX_087690	1	33831	39329	+	5499	103	212	376	156	46	87	141	195	332	261	472	73	45	85	205	392	398	361	41
PVX_087695	1	40277	40813	+	537	73	34	58	53	37	69	119	162	150	82	205	61	42	82	178	191	187	183	28
PVX_087700	1	41969	45952	-	3984	169	174	370	127	59	110	220	193	273	241	368	62	44	123	292	357	331	363	52
PVX_087705	1	47605	48036	+	432	47	32	50	21	9	23	55	70	68	45	53	18	8	25	78	63	49	71	5
PVX_087710	1	49128	51189	-	2062	67	103	170	45	21	50	122	124	200	154	170	28	18	48	147	150	160	188	35
PVX_087715	1	56153	63097	+	6945	4472	4136	6328	2786	1440	1383	2045	6894	6822	4354	7230	1555	866	1522	3335	6821	6851	7296	1151
PVX_087720	1	65242	67578	+	2337	38	14	32	100	286	277	285	243	39	28	142	169	198	257	349	317	366	349	55
PVX_087725	1	68590	69543	-	954	172	42	22	6	15	713	1136	218	433	85	43	9	166	983	1508	582	616	580	82
PVX_087730	1	71910	75529	+	3620	189	64	70	99	140	445	929	204	166	88	189	84	109	401	926	499	490	554	76
PVX_087735	1	76451	88555	-	12105	1252	985	1224	313	250	387	353	1718	1605	916	1277	193	188	418	719	1365	1328	1448	239
PVX_087740	1	89733	99374	-	9642	387	489	498	86	44	100	135	632	660	365	397	50	43	120	243	492	494	513	86
PVX_087745	1	101419	112548	+	11130	753	209	309	516	2146	2634	2972	2238	546	285	760	1112	1304	2394	4110	2982	2932	3172	518
PVX_087750	1	113347	116697	-	3351	273	269	318	137	135	184	170	543	415	218	412	117	123	153	272	522	479	475	86
PVX_087755	1	119705	124640	+	4936	58	171	368	382	837	814	405	942	304	242	662	541	596	622	593	1159	1108	1205	206
PVX_087760	1	127878	130599	+	2722	340	219	317	273	365	391	629	618	368	239	544	271	236	485	922	785	793	896	131
PVX_087765	1	131139	134894	-	3756	7	4	4	443	1807	1144	467	1384	11	1	266	982	707	610	539	1414	1477	1486	250
PVX_087775	1	137020	150030	-	13011	1945	1518	2835	1952	1845	1842	1514	3711	2496	1610	3866	1421	1014	1345	1915	4105	4011	4448	676
PVX_087780	1	155430	159395	+	3966	69	135	224	96	52	58	64	183	151	128	273	64	53	85	80	228	221	216	43
PVX_087785	1	160057	163869	-	3813	43	16	105	121	317	366	293	261	65	52	215	177	185	311	414	420	419	445	61
PVX_087790	1	165061	166065	-	1005	49	64	93	39	21	27	25	93	80	78	142	34	26	18	52	113	116	114	17
PVX_087795	1	167327	171078	-	3752	326	203	333	208	113	154	274	398	298	204	505	101	69	165	320	430	427	459	81
PVX_087800	1	173166	175589	+	2424	40	23	39	44	226	311	239	194	56	17	68	98	141	199	295	274	293	297	45
PVX_087802	1	176734	180989	+	4256	148	156	173	40	14	36	61	237	242	106	143	25	21	38	101	149	181	176	24
PVX_087805	1	182100	184688	+	2589	98	30	232	595	441	362	608	566	73	83	751	441	174	333	584	750	758	850	125
PVX_087810	1	185096	188086	-	2991	118	151	721	725	539	681	857	575	236	424	1397	446	323	510	808	1307	1194	1287	198
PVX_087815	1	190165	198635	-	8471	1134	934	1797	1276	1661	1775	1355	2893	1555	1024	2779	1246	958	1502	1835	3332	3235	3525	551
PVX_087820	1	201564	204786	-	3223	65	171	255	42	14	29	64	145	279	179	169	16	8	45	110	214	215	203	33
PVX_087825	1	206270	207012	-	743	794	427	641	298	128	88	161	1265	863	579	972	213	103	141	279	696	697	779	93
PVX_087830	1	208582	210126	-	1545	133	61	76	29	30	144	440	120	84	43	97	37	43	179	522	208	225	226	39
PVX_087835	1	210916	212704	-	1789	114	290	720	279	122	160	270	271	415	443	1032	134	55	140	301	656	636	619	107
PVX_087840	1	212788	217771	+	4984	901	862	1395	689	273	236	328	1437	1337	943	1682	321	153	278	506	1458	1405	1508	239
PVX_087845	1	217511	223823	-	6313	105	237	676	341	195	266	275	264	338	305	776	154	95	203	342	711	667	649	113
PVX_087851	1	224646	225763	+	1118	16	39	134	51	27	61	62	46	64	63	126	32	31	70	61	112	115	108	17
PVX_087855	1	226213	226689	+	477	25	13	26	12	13	80	63	17	23	12	25	13	25	61	90	57	69	70	8
PVX_087860	1	228109	228387	-	279	910	612	859	470	238	167	170	1676	1369	741	1194	330	147	190	301	993	1009	1146	166
