Geneid	Chr	Start	End	Strand	Length	SRR5298122	SRR5298123	SRR5298124	SRR5298125	SRR5298126	SRR5298127	SRR5298128	SRR5298129	SRR5298130	SRR5298131	SRR5298132	SRR5298133	SRR5298134	SRR5298135
gene:PVX_087670	1	8396	10210	+	1815	936	1042	376	390	730	830	275	301	711	738	385	449	57	155
gene:PVX_087675	1	12445	14619	-	2175	1143	1320	572	653	881	1051	377	425	836	1009	630	700	126	227
gene:PVX_087680	1	23278	25230	+	1953	1115	1163	671	742	841	981	459	514	809	887	725	752	57	106
gene:PVX_087685	1	31271	33154	-	1884	831	997	2266	2632	662	790	1409	1793	673	738	592	664	14	40
gene:PVX_087690	1	33831	39329	+	5499	2654	2945	4224	4607	1957	2257	2809	3079	2101	2168	1710	1767	82	136
gene:PVX_087695	1	40277	40813	+	537	247	286	638	743	211	242	428	514	218	250	153	185	8	14
gene:PVX_087700	1	41969	45952	-	3984	1764	1854	2355	2577	1363	1502	1623	1829	1325	1511	1149	1250	52	102
gene:PVX_087705	1	47605	48036	+	432	233	244	555	717	183	229	349	486	169	221	168	152	10	11
gene:PVX_087710	1	49128	51189	-	2062	996	1097	2229	2542	697	871	1652	1891	804	882	702	702	58	49
gene:PVX_087715	1	56153	63097	+	6945	3030	3291	4543	5108	2376	2487	3161	3451	2417	2461	2062	2293	119	141
gene:PVX_087720	1	65242	67578	+	2337	961	1064	1974	2279	780	806	1456	1722	826	849	667	723	43	71
gene:PVX_087725	1	68590	69543	-	954	499	617	1341	1587	419	514	914	1035	395	449	401	434	14	22
gene:PVX_087730	1	71910	75529	+	3620	1709	1838	3487	3887	1404	1460	2332	2562	1361	1471	1025	1172	44	92
gene:PVX_087735	1	76451	88555	-	12105	5203	5543	5774	6408	3986	4357	3990	4449	4354	4561	3496	3726	182	415
gene:PVX_087740	1	89733	99374	-	9642	4096	4655	7114	7884	3245	3649	4861	5394	3450	3761	2822	3050	123	230
gene:PVX_087745	1	101419	112548	+	11130	4449	5014	6190	6886	3347	3747	4161	4450	3758	4039	2859	3311	181	294
gene:PVX_087750	1	113347	116697	-	3351	1494	1676	3582	4151	1066	1277	2368	2578	1060	1207	901	1011	42	68
gene:PVX_087755	1	119705	124640	+	4936	1900	2092	2573	2916	1403	1598	1819	1936	1519	1761	1315	1390	70	125
gene:PVX_087760	1	127878	130599	+	2722	1171	1220	2401	2653	796	952	1592	1651	901	914	739	756	135	53
gene:PVX_087765	1	131139	134894	-	3756	1563	1704	3081	3320	1144	1296	1990	2240	1229	1450	1057	1039	66	96
gene:PVX_087775	1	137020	150030	-	13011	5545	6052	5502	6231	4092	4714	3700	3996	4324	4701	3672	4011	260	286
gene:PVX_087780	1	155430	159395	+	3966	1718	1828	3400	3850	1326	1399	2283	2503	1362	1333	1139	1207	67	67
gene:PVX_087785	1	160057	163869	-	3813	1633	1710	3040	3708	1048	1289	2170	2465	1181	1335	993	1091	49	62
gene:PVX_087790	1	165061	166065	-	1005	488	613	1406	1611	405	470	814	956	381	424	345	406	9	22
gene:PVX_087795	1	167327	171078	-	3752	1576	1696	3419	4098	1208	1408	2326	2691	1260	1388	1021	1149	45	76
