Geneid	Chr	Start	End	Strand	Length	SRR935544	SRR935549	SRR935553	SRR935554	SRR935555	SRR935557	SRR935558	SRR935559	SRR935560
PBANKA_010010	1	2964	4509	+	1546	105	31	94	266	17	14	157	63	46
PBANKA_010020	1	5878	7075	+	1198	1556	632	1462	2895	246	634	1452	738	252
PBANKA_010040	1	13433	15372	+	1940	577	403	124	151	3728	2677	233	279	211
PBANKA_010050	1	16641	18072	-	1432	1125	443	505	984	369	630	490	271	214
PBANKA_010060	1	19378	19860	+	483	1778	345	511	857	3358	5530	537	244	293
PBANKA_010070	1	21904	23062	+	1159	6883	4076	2723	4175	2053	3167	1052	476	760
PBANKA_010080	1	24148	28296	-	4149	688	756	353	1230	499	1003	4010	7615	376
PBANKA_010090	1	32842	36862	+	4021	1345	1729	774	2164	269	733	982	1080	3644
PBANKA_010100	1	37985	39255	+	1271	535	262	601	1209	121	335	40	42	462
PBANKA_010110	1	40254	41207	+	954	50	27	68	63	33	105	161	81	52
PBANKA_010120	1	41810	44969	-	3160	727	202	564	1316	277	944	207	135	2922
PBANKA_010130	1	45665	46819	+	1155	351	103	301	557	72	189	65	28	427
PBANKA_010140	1	47226	51670	-	4445	1082	642	993	2398	1005	2819	987	1563	614
PBANKA_010150	1	54273	55676	-	1404	531	281	122	276	189	392	9803	7411	446
PBANKA_010160	1	56344	58368	+	2025	327	417	213	425	132	378	144	98	151
PBANKA_010170	1	58764	60211	-	1448	543	250	247	815	212	674	1132	666	767
PBANKA_010180	1	62124	63623	+	1500	2091	982	607	1991	368	819	9464	6402	5601
PBANKA_010190	1	64919	66355	-	1437	313	98	303	729	453	1406	512	354	104
PBANKA_010200	1	68619	70043	+	1425	168	33	326	528	215	505	113	41	98
PBANKA_010210	1	70631	72184	-	1554	950	431	246	517	145	443	1835	1611	599
PBANKA_010220	1	73407	76112	-	2706	1368	1910	823	3027	195	767	874	1050	749
PBANKA_010230	1	79270	80592	+	1323	127	50	436	570	172	374	658	275	298
PBANKA_010240	1	81338	87252	-	5915	82	70	265	422	116	282	514	1360	87
PBANKA_010250	1	89051	90484	+	1434	138	34	226	336	122	217	457	231	411
PBANKA_010260	1	90545	98466	-	7922	913	426	367	655	1534	5720	2215	2040	7641
PBANKA_010270	1	99252	100370	-	1119	195	83	55	176	105	137	1532	1365	487
PBANKA_010280	1	101639	106168	-	4530	549	429	616	2164	307	1138	950	781	807
PBANKA_010290	1	108389	114175	-	5787	621	420	88	85	4096	14672	2914	3489	141
PBANKA_010300	1	117894	118616	+	723	146	12	89	105	115	147	343	101	1441
PBANKA_010310	1	119281	121272	+	1992	359	105	337	684	169	456	364	215	314
PBANKA_010320	1	122082	123213	+	1132	260	133	25	44	143	78	10598	4333	1031
PBANKA_010330	1	126075	132614	+	6540	4802	9107	5227	18835	1353	5021	2593	5685	3041
PBANKA_010340	1	133178	134781	-	1604	221	59	364	561	110	233	600	333	485
PBANKA_010350	1	135555	138122	-	2568	219	74	141	296	197	496	203	184	659
PBANKA_010360	1	139125	140795	-	1671	107	32	59	142	49	79	106	56	77
PBANKA_010370	1	141553	142188	-	636	115	11	171	439	25	87	248	132	119
PBANKA_010380	1	142858	143442	+	585	282	23	412	715	64	191	147	65	234
PBANKA_010390	1	146949	149156	+	2208	2506	1044	916	2552	527	1480	2354	1493	2518
PBANKA_010400	1	150234	151608	-	1375	227	65	266	500	185	474	1403	578	926
PBANKA_010410	1	152445	153904	+	1460	132	56	127	129	193	285	1605	590	182
PBANKA_010420	1	154510	154983	-	474	68	26	33	105	53	105	557	134	86
PBANKA_010430	1	155199	157128	-	1930	93	27	167	363	86	249	252	75	92
PBANKA_010440	1	157727	163651	-	5925	286	128	70	79	344	843	2996	2028	285
PBANKA_010450	1	165584	166363	+	780	325	114	27	24	128	134	9508	6411	2273
