Geneid	Chr	Start	End	Strand	Length	SRR5260544	SRR5260545	SRR5260546	SRR5260547	SRR5260548	SRR5260549	SRR5260550	SRR5260551	SRR5260552
gene:PBANKA_010010	1	2964	4509	+	1546	573	626	755	636	616	505	118	103	92
gene:PBANKA_010020	1	5878	7075	+	1198	8046	7942	7886	6034	5328	5850	2493	2243	2092
gene:PBANKA_010040	1	13433	15372	+	1940	239	98	150	297	509	84	51	103	18
gene:PBANKA_010050	1	16641	18072	-	1432	2912	2812	2588	1900	1683	1895	742	681	703
gene:PBANKA_010060	1	19378	19860	+	483	2121	2656	1539	2061	1981	1945	205	195	114
gene:PBANKA_010070	1	21904	23062	+	1159	18605	13779	15638	4497	5632	2281	2169	1984	1542
gene:PBANKA_010080	1	24148	28296	-	4149	1121	2752	867	8986	7928	11189	4320	4476	4923
gene:PBANKA_010090	1	32842	36862	+	4021	3512	2802	2624	1489	1660	1144	1192	992	955
gene:PBANKA_010100	1	37985	39255	+	1271	2237	2313	2280	616	735	289	227	149	78
gene:PBANKA_010110	1	40254	41207	+	954	141	151	142	48	60	22	229	229	252
gene:PBANKA_010120	1	41810	44969	-	3160	1737	1709	1348	547	380	251	420	345	328
gene:PBANKA_010130	1	45665	46819	+	1155	1285	1075	1384	339	369	141	195	169	91
gene:PBANKA_010140	1	47226	51670	-	4445	5046	6131	5753	2989	2648	2650	2429	2373	2580
gene:PBANKA_010150	1	54273	55676	-	1404	253	214	103	142	198	57	7570	8111	8224
gene:PBANKA_010160	1	56344	58368	+	2025	666	482	366	146	145	61	136	143	122
gene:PBANKA_010170	1	58764	60211	-	1448	1210	1718	1093	5329	4722	6590	373	373	358
gene:PBANKA_010180	1	62124	63623	+	1500	2316	2678	2694	3474	3082	3162	8208	8739	9861
gene:PBANKA_010190	1	64919	66355	-	1437	1680	1829	1178	1075	1063	1010	748	660	699
gene:PBANKA_010200	1	68619	70043	+	1425	1517	1475	1388	453	344	297	326	223	283
gene:PBANKA_010210	1	70631	72184	-	1554	1519	1115	806	749	754	469	2754	2515	2713
gene:PBANKA_010220	1	73407	76112	-	2706	2319	2115	2130	1102	924	864	882	753	808
gene:PBANKA_010230	1	79270	80592	+	1323	1151	1117	928	641	576	623	567	450	584
gene:PBANKA_010240	1	81338	87252	-	5915	675	1501	860	1559	1073	1637	862	721	860
gene:PBANKA_010250	1	89051	90484	+	1434	540	494	580	508	328	383	256	208	287
gene:PBANKA_010260	1	90545	98466	-	7922	1619	1996	1013	5870	4577	5469	1486	1262	1553
gene:PBANKA_010270	1	99252	100370	-	1119	140	559	92	4718	4731	6762	499	451	501
gene:PBANKA_010280	1	101639	106168	-	4530	827	595	546	1289	829	1087	217	196	232
gene:PBANKA_010290	1	108389	114175	-	5787	138	290	61	247	410	216	1658	1870	1739
gene:PBANKA_010300	1	117894	118616	+	723	320	408	330	369	333	275	390	318	316
gene:PBANKA_010310	1	119281	121272	+	1992	951	1017	923	639	423	539	256	204	222
gene:PBANKA_010320	1	122082	123213	+	1132	37	131	54	184	360	136	7400	8751	8243
gene:PBANKA_010330	1	126075	132614	+	6540	12887	12349	13909	10939	9144	10930	3067	3135	3009
gene:PBANKA_010340	1	133178	134781	-	1604	1175	1486	1040	1624	1311	1342	942	889	1047
gene:PBANKA_010350	1	135555	138122	-	2568	266	246	152	144	115	121	61	86	63
gene:PBANKA_010360	1	139125	140795	-	1671	62	49	62	34	15	19	20	15	32
gene:PBANKA_010370	1	141553	142188	-	636	540	528	510	274	252	170	200	176	157
gene:PBANKA_010380	1	142858	143442	+	585	1635	1547	2092	563	402	265	207	199	173
gene:PBANKA_010390	1	146949	149156	+	2208	2394	2897	4340	4629	3986	3883	1449	1423	1395
gene:PBANKA_010400	1	150234	151608	-	1375	1150	1723	867	3970	3461	4290	1548	1319	1404
gene:PBANKA_010410	1	152445	153904	+	1460	498	681	256	7043	6514	8053	1184	1051	1245
gene:PBANKA_010420	1	154510	154983	-	474	144	353	93	1907	2000	2543	50	39	43
gene:PBANKA_010430	1	155199	157128	-	1930	342	391	251	395	361	286	86	74	83
gene:PBANKA_010440	1	157727	163651	-	5925	218	687	94	7180	4689	8281	206	129	173
gene:PBANKA_010450	1	165584	166363	+	780	29	88	20	248	371	171	7907	8489	8316
gene:PBANKA_010460	1	166878	172475	-	5598	2171	2482	2146	4287	3789	4274	1165	1364	1258
gene:PBANKA_010470	1	175067	176620	+	1554	2100	3289	1506	7367	7334	10252	2056	1699	2018
gene:PBANKA_010480	1	177115	180117	-	3003	1854	1953	1714	1593	1713	1810	361	376	378
gene:PBANKA_010490	1	183218	185406	+	2189	3670	3893	4102	1925	1662	1396	1441	1365	1222
gene:PBANKA_010500	1	186476	187292	-	817	767	1184	600	1255	1238	1401	792	690	671
gene:PBANKA_010510	1	188684	189452	-	769	40	112	53	408	537	347	9553	10420	10354
gene:PBANKA_010520	1	190452	193016	-	2565	3307	2991	2879	1283	1041	712	599	529	392
gene:PBANKA_010530	1	195031	200510	-	5480	3833	3591	3915	1838	1624	1082	1367	1586	1598
gene:PBANKA_010540	1	203081	207619	+	4539	4685	5078	4287	1832	1635	1079	912	985	770
gene:PBANKA_010550	1	208597	209247	-	651	2288	1610	1949	466	606	224	449	446	381
gene:PBANKA_010560	1	211648	214449	+	2802	7035	5894	6453	2527	3012	1772	1568	1676	1172
gene:PBANKA_010570	1	215460	218569	+	3110	199	616	207	709	720	867	701	715	702
gene:PBANKA_010580	1	219124	220438	-	1315	489	564	357	418	375	418	581	622	674
gene:PBANKA_010590	1	221536	222934	+	1399	499	440	404	342	285	321	433	471	554
gene:PBANKA_010600	1	223425	226759	-	3335	1253	1808	806	1837	2315	2206	634	645	632
gene:PBANKA_010610	1	227884	229266	+	1383	384	360	279	857	539	721	122	120	120
gene:PBANKA_010620	1	229639	232397	-	2759	424	1427	254	9826	8977	12679	525	491	498
gene:PBANKA_010630	1	236742	243269	+	6528	874	1330	281	2996	2476	2486	32181	33963	42296
gene:PBANKA_010640	1	244130	245994	-	1865	939	1038	906	527	352	268	269	266	225
gene:PBANKA_010650	1	246857	249220	+	2364	1513	1389	1738	630	512	366	203	167	150
gene:PBANKA_010660	1	249527	251681	-	2155	1269	1280	1332	498	406	240	254	259	198
gene:PBANKA_010670	1	252201	255734	+	3534	1697	1771	1658	465	513	213	460	475	413
gene:PBANKA_010680	1	255883	256743	-	861	347	457	356	665	687	623	204	218	197
gene:PBANKA_010690	1	257208	260459	+	3252	723	643	620	410	368	333	221	265	281
gene:PBANKA_010695	1	261048	262412	+	1365	694	713	558	266	255	176	168	184	163
gene:PBANKA_010700	1	262880	263290	-	411	1258	1451	982	499	496	335	1594	1494	1650
gene:PBANKA_010710	1	264343	265295	-	953	4811	4985	5372	1801	2012	1394	939	841	667
gene:PBANKA_010720	1	267131	268205	+	1075	138	818	108	5047	6138	7134	538	527	514
gene:PBANKA_010730	1	269623	271338	+	1716	11163	11702	13793	4713	4193	3276	1388	1251	916
gene:PBANKA_010740	1	273369	274613	+	1245	4458	5013	3552	4053	3779	4455	1325	1168	1157
gene:PBANKA_010750	1	275681	278492	+	2812	771	892	761	238	196	107	469	368	516
gene:PBANKA_010760	1	280540	296862	+	16323	2029	1697	1336	1023	895	764	338	369	316
gene:PBANKA_010770	1	297421	299212	-	1792	2829	2900	3246	1074	1088	599	2204	1897	1909
gene:PBANKA_010780	1	300748	302278	+	1531	99	76	92	267	221	244	158	143	195
gene:PBANKA_010790	1	303376	305899	+	2524	1012	1446	716	1415	1398	1281	902	922	877
gene:PBANKA_010800	1	306323	308131	-	1809	651	625	349	781	521	830	230	165	214
gene:PBANKA_010810	1	310231	314769	+	4539	225	651	192	2926	2415	3907	790	636	790
gene:PBANKA_010820	1	316589	321493	+	4905	1841	1757	1218	1420	1426	1228	454	495	445
gene:PBANKA_010830	1	322516	323742	-	1227	123	435	46	1069	988	1238	5010	4684	4696
gene:PBANKA_010840	1	326646	331889	+	5244	998	1126	938	916	959	1020	369	402	403
gene:PBANKA_010850	1	332571	333811	+	1241	1084	1071	1073	296	311	191	283	233	235
gene:PBANKA_010860	1	334074	335856	-	1783	2092	2550	2157	1004	1175	716	533	537	404
gene:PBANKA_010870	1	337036	339075	-	2040	3928	4322	4418	2713	3055	2382	4839	5296	4669
gene:PBANKA_010880	1	342642	343052	+	411	1373	2403	556	7779	8906	8595	2675	2311	1681
gene:PBANKA_010890	1	343565	344138	-	574	1445	1236	1725	308	349	149	303	224	207
gene:PBANKA_010900	1	345906	346887	+	982	1194	950	1337	428	230	251	82	72	61
gene:PBANKA_010910	1	347159	349171	+	2013	11294	11429	12116	3990	3673	2552	2046	1703	1478
gene:PBANKA_010920	1	349901	353425	-	3525	4661	5110	4770	1442	1978	834	2229	2497	2218
gene:PBANKA_010930	1	355041	356159	-	1119	649	862	648	320	325	208	713	587	687
gene:PBANKA_010940	1	357667	357933	-	267	573	676	469	400	318	387	214	127	142
gene:PBANKA_010950	1	358938	360034	+	1097	2103	2402	2209	1603	1368	1606	418	333	334
gene:PBANKA_010960	1	361253	362393	+	1141	2067	2530	2305	667	754	401	1529	1606	1375
gene:PBANKA_010970	1	362742	365150	-	2409	2991	2461	2507	1090	881	563	2137	2288	2503
gene:PBANKA_010980	1	372976	374088	-	1113	15	99	12	219	371	126	10866	12681	13081
gene:PBANKA_010990	1	375468	377321	-	1854	134	280	72	260	393	84	10024	10935	12367
gene:PBANKA_011000	1	378604	379080	-	477	6546	4988	5705	1721	2101	845	1050	1083	771
gene:PBANKA_011010	1	380430	388759	-	8330	3017	3764	2761	3277	3368	3815	3503	3626	3497
gene:PBANKA_011020	1	391917	392836	+	920	1110	1227	1060	535	530	295	1015	829	922
gene:PBANKA_011030	1	393408	393879	-	472	148	271	49	86	88	34	32	24	17
gene:PBANKA_011040	1	394826	396532	-	1707	2813	1982	2673	823	670	563	334	335	365
gene:PBANKA_011050	1	398038	404879	-	6842	1061	1266	879	505	727	276	11665	12252	13086
gene:PBANKA_011060	1	406156	406509	+	354	33	31	35	15	27	12	86	100	89
gene:PBANKA_011070	1	406536	407240	+	705	26	46	40	14	22	13	186	397	400
gene:PBANKA_011080	1	407585	407944	-	360	40	100	41	425	440	343	7699	8260	8794
gene:PBANKA_011090	1	408597	409814	-	1218	784	662	795	255	299	141	1095	1113	958
gene:PBANKA_011100	1	410771	411775	-	1005	171	311	159	259	366	72	83	93	60
gene:PBANKA_011110	1	412401	413384	-	984	318	267	232	442	372	408	85	97	97
gene:PBANKA_011120	1	415503	417536	+	2034	3519	2784	3041	2979	2886	2807	770	801	710
gene:PBANKA_011130.1	1	418471	420300	-	1830	83	55	60	24	21	13	14	20	17
gene:PBANKA_011130.2	1	418496	420300	-	1805	0	0	0	0	0	0	0	0	0
gene:PBANKA_011140	1	422420	423186	+	767	1069	1455	980	1470	1398	1356	1110	1104	959
gene:PBANKA_011150	1	424199	424485	+	287	253	364	207	144	150	57	321	334	365
gene:PBANKA_011160	1	425205	428881	-	3677	133	212	106	151	203	70	235	227	188
gene:PBANKA_011170	1	430755	431522	+	768	713	1042	623	486	506	283	1307	1192	1199
gene:PBANKA_011180	1	431734	434736	-	3003	983	829	911	446	367	249	295	263	283
gene:PBANKA_011190	1	439763	441838	+	2076	135	224	218	142	134	98	177	161	170
gene:PBANKA_011200	1	442241	444187	-	1947	957	894	1074	293	246	122	252	241	262
gene:PBANKA_011210	1	448107	455919	+	7813	1085	2340	326	1572	1796	1570	1134	1319	1028
gene:PBANKA_011220	1	456330	462206	-	5877	169	178	105	382	631	127	144	189	85
gene:PBANKA_011230	1	465081	467618	-	2538	452	586	502	243	315	107	738	678	781
gene:PBANKA_011240	1	468662	471097	-	2436	1178	1013	1229	324	235	129	366	309	306
gene:PBANKA_011250	1	472354	474611	-	2258	1532	1346	1347	547	549	369	251	238	208
gene:PBANKA_011260	1	477226	478737	+	1512	6038	5090	5735	1635	1896	937	558	550	249
gene:PBANKA_100010	10	1703	10034	+	8332	385	367	296	222	189	100	45	38	20
gene:PBANKA_100020	10	11388	13007	+	1620	3077	1280	1473	420	764	261	130	187	79
gene:PBANKA_100030	10	14007	15214	-	1208	2758	2881	2332	1640	1937	1626	709	673	603
gene:PBANKA_100040	10	16615	18149	-	1535	555	526	692	525	504	366	91	75	57
gene:PBANKA_100050	10	21806	23809	-	2004	2654	2061	2029	1456	1332	1325	400	336	278
gene:PBANKA_100060	10	26152	27311	+	1160	8119	8549	8381	5244	5984	4589	1152	1029	538
gene:PBANKA_100070	10	29820	31514	-	1695	1990	2081	2151	778	640	571	787	610	592
gene:PBANKA_100080	10	32550	33620	+	1071	877	1013	1189	405	500	322	257	279	197
gene:PBANKA_100090	10	34064	35068	-	1005	193	153	113	65	51	31	71	74	65
gene:PBANKA_100100	10	36287	46655	+	10369	2365	2144	1679	881	886	491	510	560	468
gene:PBANKA_100110	10	48054	49214	+	1161	1266	1130	1437	678	618	598	686	615	696
gene:PBANKA_100120	10	50698	53613	+	2916	118	402	115	943	767	1224	145	119	142
gene:PBANKA_100130	10	54312	56814	-	2503	527	818	231	1147	1054	1266	213	162	163
gene:PBANKA_100140	10	61838	64660	-	2823	4867	5381	4597	3625	3593	3189	5145	4849	4788
