Geneid	Chr	Start	End	Strand	Length	SRR7059090	SRR7059091	SRR7059092	SRR7059093	SRR7059094	SRR7059095	SRR7059096	SRR7059097	SRR7059098	SRR7059099	SRR7059100
PF3D7_0100100	1	29510	37126	+	7617	10	26	13	142	61	172	2	8	3	9	4
PF3D7_0100200	1	38982	40207	-	1226	1	1	0	1	0	4	0	2	1	1	0
PF3D7_0100300	1	42367	46507	-	4141	1	1	0	0	1	1	1	0	0	2	0
PF3D7_0100400	1	50363	51636	+	1274	0	1	2	9	6	15	0	0	1	0	1
PF3D7_0100600	1	53778	55006	-	1229	1	1	1	4	2	4	0	0	0	1	0
PF3D7_0100700	1	56690	56893	-	204	0	0	0	0	0	1	0	0	0	0	0
PF3D7_0100800	1	59772	61003	+	1232	2	0	0	0	1	0	0	2	0	0	0
PF3D7_0100900	1	62187	63400	-	1214	0	0	1	0	0	1	0	0	0	0	0
PF3D7_0101000	1	65817	66989	-	1173	0	0	0	0	0	1	0	0	0	0	0
PF3D7_0101100	1	69304	70417	-	1114	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0101200	1	71624	72426	+	803	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0101300	1	74563	75366	+	804	0	0	0	0	1	0	0	0	0	0	0
PF3D7_0101600	1	81765	83106	-	1342	1	0	0	0	0	0	0	0	0	0	2
PF3D7_0101800	1	87203	88177	-	975	0	0	1	0	0	1	1	0	0	0	0
PF3D7_0101900	1	90242	91420	-	1179	0	0	1	0	0	0	0	1	1	0	0
PF3D7_0102200	1	98819	102282	+	3464	0	1	1	3	0	0	2	0	3	2	2
PF3D7_0102300	1	104704	105209	+	506	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0102500	1	110750	115799	-	5050	1	1	4	7	3	4	0	0	0	4	0
PF3D7_0102600	1	119041	121249	-	2209	0	1	1	8	5	7	5	2	2	13	2
PF3D7_0102700	1	124517	125484	+	968	0	0	2	21	25	31	0	0	0	1	0
PF3D7_0102800	1	126318	128141	-	1824	11	35	34	603	748	824	0	0	0	0	0
PF3D7_0102900	1	128960	130840	-	1881	1	1	1	4	2	1	4	1	1	5	1
PF3D7_0103000	1	132086	133624	-	1539	0	0	0	1	1	3	0	0	0	0	1
PF3D7_0103100	1	134353	139257	-	4905	1	0	1	0	0	3	0	1	1	0	1
PF3D7_0103200	1	140662	142219	-	1558	1	6	3	132	87	152	0	0	0	0	0
PF3D7_0103300	1	143640	146396	-	2757	5	7	6	3	1	2	1	4	3	1	2
PF3D7_0103400	1	147915	152777	-	4863	7	6	2	22	14	33	0	3	0	1	3
PF3D7_0103500	1	154176	160426	+	6251	1	5	1	1	0	1	0	0	0	1	1
PF3D7_0103600	1	161131	166229	+	5099	5	5	11	105	45	73	2	1	2	3	2
PF3D7_0103700	1	166513	168687	+	2175	2	2	2	16	6	9	3	1	1	0	0
