Geneid	Chr	Start	End	Strand	Length	SRR3134662	SRR3134663	SRR3134664	SRR3134665	SRR3134666	SRR3134667
PF3D7_0100100	1	29510	37126	+	7617	368	161	107	183	99	173
PF3D7_0100200	1	38982	40207	-	1226	2764	1061	939	1038	935	1041
PF3D7_0100300	1	42367	46507	-	4141	30	22	10	31	9	33
PF3D7_0100400	1	50363	51636	+	1274	7383	2473	2075	2345	2076	1888
PF3D7_0100600	1	53778	55006	-	1229	1802	648	523	726	530	635
PF3D7_0100700	1	56690	56893	-	204	0	2	0	2	1	0
PF3D7_0100800	1	59772	61003	+	1232	0	0	0	2	0	0
PF3D7_0100900	1	62187	63400	-	1214	0	0	0	0	0	2
PF3D7_0101000	1	65817	66989	-	1173	4	2	0	1	1	2
PF3D7_0101100	1	69304	70417	-	1114	3	0	0	0	0	0
PF3D7_0101200	1	71624	72426	+	803	0	0	0	0	0	0
PF3D7_0101300	1	74563	75366	+	804	4	0	0	0	0	1
PF3D7_0101600	1	81765	83106	-	1342	9	27	6	36	6	25
PF3D7_0101800	1	87203	88177	-	975	6	0	1	1	2	1
PF3D7_0101900	1	90242	91420	-	1179	2	0	0	0	1	0
PF3D7_0102200	1	98819	102282	+	3464	8	5	1	3	4	4
PF3D7_0102300	1	104704	105209	+	506	153	76	67	29	68	44
PF3D7_0102500	1	110750	115799	-	5050	294	129	101	107	154	116
PF3D7_0102600	1	119041	121249	-	2209	55	62	18	83	31	74
PF3D7_0102700	1	124517	125484	+	968	646	217	212	181	230	203
PF3D7_0102800	1	126318	128141	-	1824	65	29	29	17	24	18
PF3D7_0102900	1	128960	130840	-	1881	1125	466	449	440	535	433
PF3D7_0103000	1	132086	133624	-	1539	149	94	63	92	66	121
PF3D7_0103100	1	134353	139257	-	4905	85	37	16	39	31	37
PF3D7_0103200	1	140662	142219	-	1558	2035	972	794	879	1023	829
PF3D7_0103300	1	143640	146396	-	2757	309	146	92	168	91	170
PF3D7_0103400	1	147915	152777	-	4863	1331	554	439	615	497	636
PF3D7_0103500	1	154176	160426	+	6251	350	141	129	141	141	187
PF3D7_0103600	1	161131	166229	+	5099	11243	5256	3997	5494	4456	5265
PF3D7_0103700	1	166513	168687	+	2175	147	85	42	60	38	64
PF3D7_0103800	1	169079	171273	-	2195	931	377	304	369	348	324
PF3D7_0103900	1	172864	174591	+	1728	68	28	12	22	18	25
PF3D7_0104000	1	175609	176376	+	768	7691	2724	2722	2500	3108	2370
PF3D7_0104100	1	178087	180790	+	2704	76	21	13	12	20	33
PF3D7_0104200	1	182822	184222	-	1401	685	278	272	304	295	314
PF3D7_0104300	1	190269	201230	+	10962	1491	507	504	537	611	536
PF3D7_0104400	1	202536	204143	+	1608	474	176	135	198	165	187
PF3D7_0104500	1	204622	205455	-	834	26	14	6	13	15	10
PF3D7_0104600	1	206170	210189	+	4020	2831	960	886	699	997	672
PF3D7_0104700	1	210870	213005	+	2136	556	248	215	286	319	240
PF3D7_0104800	1	215776	217509	+	1734	37745	10030	12789	10546	13656	10497
PF3D7_0105100	1	221202	221633	+	432	119	44	29	33	24	37
PF3D7_0105200	1	222254	223960	-	1707	208	92	73	78	108	94
PF3D7_0105300	1	225110	225779	-	670	680	217	205	224	225	173
PF3D7_0105400.1	1	226681	227285	-	605	0	0	0	0	0	0
PF3D7_0105400.2	1	226681	227285	-	605	0	0	0	0	0	0
PF3D7_0105500	1	228485	229519	-	1035	77	38	12	32	31	48
PF3D7_0105600	1	230289	234402	-	4114	471	209	194	158	206	185
PF3D7_0105700	1	238666	247857	+	9192	84	17	21	12	25	12
PF3D7_0105800	1	249231	252010	-	2780	434	125	95	140	112	133
PF3D7_0105900	1	253584	254930	+	1347	134	67	45	68	43	59
PF3D7_0106000	1	255775	258543	-	2769	471	188	140	175	160	167
PF3D7_0106100	1	260658	261809	-	1152	440	257	197	254	217	280
PF3D7_0106200	1	263340	264223	-	884	120	57	43	42	56	44
PF3D7_0106300	1	265208	269173	-	3966	991	373	403	460	452	447
PF3D7_0106400	1	272454	273404	+	951	138	81	67	100	79	94
PF3D7_0106500	1	274315	278550	+	4236	23	17	8	23	12	14
PF3D7_0106600	1	279115	280014	+	900	201	89	82	65	101	77
PF3D7_0106700	1	281155	285459	+	4305	726	321	254	310	296	299
PF3D7_0106800	1	286951	288918	+	1968	653	270	243	221	284	207
PF3D7_0106900	1	290386	292590	+	2205	533	216	214	152	183	161
PF3D7_0107000.1	1	293642	294968	+	1327	56	22	24	13	22	23
PF3D7_0107100	1	295300	296931	-	1632	242	97	63	68	27	85
PF3D7_0107200	1	297362	299397	+	2036	287	125	112	114	107	122
PF3D7_0107300	1	299562	300868	-	1307	79	38	30	27	26	27
PF3D7_0107400	1	302937	303398	+	462	1155	440	385	419	413	416
PF3D7_0107500	1	304362	309257	-	4896	1767	603	595	660	647	635
PF3D7_0107600	1	314618	319405	+	4788	523	201	165	175	200	186
PF3D7_0107700	1	320168	321508	+	1341	2	2	2	3	5	4
PF3D7_0107800	1	322371	326072	+	3702	30	16	12	24	10	13
PF3D7_0107900	1	326397	327224	-	828	158	48	38	54	62	56
PF3D7_0108000	1	328431	329558	-	1128	783	341	286	347	355	354
PF3D7_0108100	1	330738	332708	+	1971	246	83	113	114	107	135
PF3D7_0108300	1	337168	343833	+	6666	101	78	34	43	56	46
PF3D7_0108400.1	1	344400	346540	-	2141	610	239	239	244	259	235
PF3D7_0108400.2	1	345206	346540	-	1335	0	0	0	0	0	0
PF3D7_0108500	1	349170	349709	+	540	235	149	104	187	130	144
PF3D7_0108600	1	349995	351626	-	1632	711	305	239	322	285	255
PF3D7_0108700	1	352314	356211	-	3898	204	78	68	77	88	92
PF3D7_0108800	1	357834	360339	+	2506	9241	2795	3334	2756	3595	2720
PF3D7_0109000	1	363318	363992	+	675	101	45	41	63	71	71
PF3D7_0109100	1	365610	368795	+	3186	462	241	150	223	146	227
PF3D7_0109200	1	369480	370178	-	699	101	32	22	42	32	46
PF3D7_0109300	1	371815	373012	-	1198	769	284	336	204	346	216
PF3D7_0109400	1	374439	375087	-	649	63	35	40	18	34	28
PF3D7_0109500	1	376294	377004	-	711	1086	339	377	362	455	334
PF3D7_0109600	1	377874	378599	-	726	38	26	16	26	29	18
PF3D7_0109700	1	379149	379806	-	658	37	26	15	30	26	20
PF3D7_0109800	1	380697	382424	+	1728	382	218	126	214	138	208
PF3D7_0109850	1	383284	386632	+	3349	7987	2561	2919	2335	2997	2538
