Gene stable ID,Transcript stable ID
PF3D7_0105200,CAD49011
PF3D7_0111700,CAD49073
PF3D7_0104200,CAD49002
PF3D7_0104700,CAD49008
PF3D7_0105400.1,CAD49013
PF3D7_0108300,CAD49042
PF3D7_0112800,CAB63559
PF3D7_0111300,CAD49069
PF3D7_0106500,CAD49024
PF3D7_0104300,CAD49004
PF3D7_0105800,CAD49017
PF3D7_0108800,CAD49047
PF3D7_0102500,CAD48985
PF3D7_0107000.1,CAD49029
PF3D7_0104500,CAD49006
PF3D7_0105900,CAD49018
PF3D7_0107800,CZT62482
PF3D7_0107900,CAD49039
PF3D7_0109500,CAD49053
PF3D7_0105600,CAD49015
PF3D7_0104000,CAD49000
PF3D7_0111600,CAD49072
PF3D7_0106700,CAD49026
PF3D7_0110800,CAD49065
PF3D7_0111200,CAD49068
PF3D7_0103800,CAD48998
PF3D7_0107400,CAD49034
PF3D7_0111800,CAX51194
PF3D7_0105400.2,CZT62481
PF3D7_0112000,CAD49076
PF3D7_0109000,CAD49048
PF3D7_0109300,CAD49051
PF3D7_0103500,CAX51185
PF3D7_0110400,CAD49061
PF3D7_0110200,CAD49060
PF3D7_0102900,CAD48989
PF3D7_0105100,CAD49010
PF3D7_0107500,CAD49035
PF3D7_0108700,CAD49046
PF3D7_0104400,CAD49005
PF3D7_0110700,CAD49064
PF3D7_0109850,CAX51192
PF3D7_0103600,CAD48996
PF3D7_0108100,CAD49041
PF3D7_0107100,CAD49030
PF3D7_0103900,CAD48999
PF3D7_0110100,CAD49059
PF3D7_0106200,CAX51188
PF3D7_0104600,CAX51186
PF3D7_0112200,CAB63558
PF3D7_0103400,CAD48994
PF3D7_0104100,CAD49001
PF3D7_0109400,CAD49052
PF3D7_0111900,CAD49075
PF3D7_0112100,CAB63557
PF3D7_0106000,CAX51187
PF3D7_0107700,CAX51190
PF3D7_0111500,CAD49071
PF3D7_0105500,CAD49014
PF3D7_0103300,CAX51184
PF3D7_0106100,CAD49020
PF3D7_0106300,CAD49022
PF3D7_0102700,CAD48987
PF3D7_0108600,CAD49045
PF3D7_0110900,CAD49066
PF3D7_0103200,CAD48992
PF3D7_0106800,CAD49027
PF3D7_0113700,CAD48948
PF3D7_0106900,CAD49028
PF3D7_0110000,CAD49058
PF3D7_0111000,CAD49067
PF3D7_0109800,CAD49056
PF3D7_0109700,CAD49055
PF3D7_0110500,CAD49062
PF3D7_0106400,CAD49023
PF3D7_0107200,CAX51189
PF3D7_0109200,CAD49050
PF3D7_0102800,CAD48988
PF3D7_0108000,CAD49040
PF3D7_0111400,CAX51193
PF3D7_0108400.1,CAX51191
PF3D7_0208800,CZT98102
PF3D7_0205900,CZT98072
PF3D7_0217400,CZT98188
PF3D7_0213100,CZT98144
PF3D7_0217200,CZT98186
PF3D7_0218000,CZT98194
PF3D7_0214800,CZT98161
PF3D7_0204100,CZT98053
PF3D7_0218500,CZT98199
PF3D7_0214100,CZT98154
PF3D7_0211500,CZT98128
PF3D7_0211600,CZT98129
PF3D7_0215200,CZT98165
PF3D7_0215800,CZT98171
PF3D7_0207400,CZT98087
PF3D7_0214200,CZT98155
PF3D7_0218300,CZT98197
PF3D7_0205600,CZT98068
PF3D7_0219900,CZT98211
PF3D7_0201800,CZT98030
PF3D7_0205800,CZT98071
PF3D7_0212000,CZT98133
PF3D7_0203400,CZT98047
PF3D7_0205400,CZT98066
PF3D7_0208900,CZT98103
PF3D7_0202400,CZT98036
PF3D7_0203300,CZT98046
PF3D7_0210000,CZT98113
PF3D7_0212400,CZT98137
PF3D7_0217900,CZT98193
PF3D7_0204700,CZT98059
PF3D7_0208700.2,CZT98100
PF3D7_0206200,CZT98075
PF3D7_0212900,CZT98142
PF3D7_0208600,CZT98099
PF3D7_0214000,CZT98153
PF3D7_0208100.1,CZT98094
PF3D7_0208200,CZT98095
PF3D7_0207000,CZT98083
PF3D7_0212100,CZT98134
PF3D7_0202600.1,CZT98039
PF3D7_0219500,CZT98207
PF3D7_0216600,CZT98179
PF3D7_0211100,CZT98124
PF3D7_0206500,CZT98077
PF3D7_0217100,CZT98185
PF3D7_0210600,CZT98120
PF3D7_0207300,CZT98086
PF3D7_0207200,CZT98085
PF3D7_0210500,CZT98119
PF3D7_0219600,CZT98208
PF3D7_0207700,CZT98090
PF3D7_0203600,CZT98048
PF3D7_0215000,CZT98163
PF3D7_0203700,CZT98049
PF3D7_0203800,CZT98050
PF3D7_0204200,CZT98054
PF3D7_0216400,CZT98177
PF3D7_0203900,CZT98051
