Geneid	Chr	Start	End	Strand	Length	SRR5298122	SRR5298123	SRR5298124	SRR5298125	SRR5298126	SRR5298127	SRR5298128	SRR5298129	SRR5298130	SRR5298131	SRR5298132	SRR5298133	SRR5298134	SRR5298135
PVX_087670	1	8396	10210	+	1815	876	1088	355	445	737	826	254	326	672	796	442	490	90	145
PVX_087675	1	12445	14619	-	2175	1183	1289	653	724	932	980	435	480	937	943	689	722	66	209
PVX_087680	1	23278	25230	+	1953	1057	1218	717	801	851	879	495	577	783	850	669	787	79	117
PVX_087685	1	31271	33154	-	1884	882	954	2298	2571	661	719	1594	1641	666	746	588	674	31	41
PVX_087690	1	33831	39329	+	5499	2773	2892	4317	4700	2072	2139	2859	3074	2018	2270	1682	1872	110	145
PVX_087695	1	40277	40813	+	537	290	304	761	845	262	275	519	570	211	248	198	194	9	14
PVX_087700	1	41969	45952	-	3984	1682	1856	2166	2477	1324	1490	1588	1740	1372	1435	1132	1229	207	115
PVX_087705	1	47605	48036	+	432	192	254	585	659	157	171	429	428	173	171	110	149	9	12
PVX_087710	1	49128	51189	-	2062	1036	1097	2405	2544	793	789	1785	1846	835	918	693	795	24	50
PVX_087715	1	56153	63097	+	6945	3041	3271	4421	4780	2249	2583	3010	3391	2296	2634	2095	2217	101	171
PVX_087720	1	65242	67578	+	2337	947	1081	2003	2253	732	877	1513	1660	745	912	664	754	37	51
PVX_087725	1	68590	69543	-	954	525	532	1380	1480	395	464	912	1062	375	407	357	402	16	33
PVX_087730	1	71910	75529	+	3620	1787	1924	3615	4084	1403	1574	2435	2580	1419	1500	1113	1166	59	104
PVX_087735	1	76451	88555	-	12105	5146	5650	5777	6385	4007	4338	4058	4403	4292	4673	3419	3771	326	1053
PVX_087740	1	89733	99374	-	9642	4275	4447	7085	7815	3306	3516	4846	5311	3500	3700	2777	3017	200	235
PVX_087745	1	101419	112548	+	11130	4596	4901	6162	6791	3399	3639	3971	4489	3693	4068	3046	3155	152	269
PVX_087750	1	113347	116697	-	3351	1535	1656	3588	3740	1182	1164	2251	2426	1109	1152	989	1007	102	82
PVX_087755	1	119705	124640	+	4936	1944	2092	2464	2695	1455	1561	1638	1884	1634	1719	1283	1441	81	117
PVX_087760	1	127878	130599	+	2722	1134	1258	2322	2606	874	874	1463	1704	843	958	665	804	32	73
PVX_087765	1	131139	134894	-	3756	1563	1733	3061	3509	1187	1250	2060	2250	1331	1335	935	1170	116	101
PVX_087775	1	137020	150030	-	13011	5603	6029	5557	5981	4304	4489	3631	4048	4329	4699	3653	4020	193	322
PVX_087780	1	155430	159395	+	3966	1613	1842	3365	3657	1243	1444	2201	2449	1232	1489	1092	1243	57	74
PVX_087785	1	160057	163869	-	3813	1548	1804	3247	3401	1197	1179	2155	2398	1250	1295	997	1097	47	95
PVX_087790	1	165061	166065	-	1005	570	554	1432	1642	426	457	869	956	407	430	346	410	19	22
PVX_087795	1	167327	171078	-	3752	1474	1706	3494	3637	1223	1264	2416	2537	1266	1392	1035	1109	67	106
PVX_087800	1	173166	175589	+	2424	984	1098	2656	2967	779	865	1693	1991	840	887	629	704	29	50
PVX_087802	1	176734	180989	+	4256	1626	1787	3095	3459	1205	1312	2267	2509	1312	1444	1111	1184	181	102
PVX_087805	1	182100	184688	+	2589	1095	1194	2362	2627	859	950	1508	1787	857	960	783	845	30	39
PVX_087810	1	185096	188086	-	2991	1447	1487	3360	3492	1036	1080	2336	2483	1104	1172	922	994	49	67
PVX_087815	1	190165	198635	-	8471	3571	3709	4681	5153	2639	2874	3181	3391	2773	2897	2264	2457	137	176
PVX_087820	1	201564	204786	-	3223	1247	1402	3363	3749	1014	1180	2266	2532	1081	1142	906	1005	53	72
PVX_087825	1	206270	207012	-	743	298	334	797	968	210	223	573	712	223	242	181	211	9	13
PVX_087830	1	208582	210126	-	1545	527	583	1670	1953	421	491	1189	1385	419	524	363	434	27	16
PVX_087835	1	210916	212704	-	1789	730	847	2050	2470	514	635	1451	1579	539	627	429	535	17	32
PVX_087840	1	212788	217771	+	4984	2107	2319	3541	3798	1598	1712	2321	2472	1696	1783	1340	1472	68	123
PVX_087845	1	217511	223823	-	6313	2414	2738	4009	4383	1899	2003	2557	2775	2011	2099	1542	1670	113	137
PVX_087851	1	224646	225763	+	1118	394	413	1303	1456	356	346	838	989	306	347	314	319	13	19
PVX_087855	1	226213	226689	+	477	175	214	615	686	126	188	429	511	147	190	140	156	7	9
PVX_087860	1	228109	228387	-	279	142	150	398	447	94	89	279	274	123	98	88	91	4	5
PVX_087865	1	231197	237367	-	6171	2267	2345	4162	4423	1671	1667	2921	3138	1730	1843	1518	1578	103	117
PVX_087870	1	244437	246230	+	1794	835	967	2547	2856	641	761	1831	1978	645	794	523	682	23	62
PVX_087875	1	247295	250012	+	2718	1067	1178	2156	2580	744	893	1554	1809	906	959	694	832	61	51
PVX_087880	1	254624	260849	-	6226	2382	2581	5646	6272	1833	1998	3715	3926	1902	2047	1561	1753	1506	116
PVX_087885	1	263763	266960	+	3198	1181	1285	2669	2849	872	928	1793	2029	909	1043	801	838	31	61
PVX_087890	1	268018	268365	+	348	88	137	203	336	85	109	147	201	77	108	60	88	0	6
PVX_087895	1	269002	270999	+	1998	924	1034	1639	1896	739	839	1127	1320	740	772	616	701	32	61
PVX_087900	1	273311	277784	+	4474	1871	1952	4404	4882	1390	1552	2986	3319	1490	1542	1173	1266	91	77
PVX_087905	1	278555	279532	+	978	295	273	921	1076	165	212	739	935	228	282	190	203	10	12
PVX_087910	1	283255	286551	+	3297	1068	1167	2750	2943	865	955	1911	2170	862	964	648	700	39	59
PVX_087915	1	288130	291150	+	3021	1085	1193	2318	2472	914	946	1689	1789	935	1007	774	857	55	69
