Geneid	Chr	Start	End	Strand	Length	SRR3134662	SRR3134663	SRR3134664	SRR3134665	SRR3134666	SRR3134667
gene:PF3D7_0100100	1	29510	37126	+	7617	9709	2840	3348	3201	3645	2978
gene:PF3D7_0100200	1	38982	40207	-	1226	2611	1346	930	1224	1018	1060
gene:PF3D7_0100300	1	42367	46507	-	4141	286	110	86	133	93	131
gene:PF3D7_0100400	1	50363	51636	+	1274	23	22	4	16	6	9
gene:PF3D7_0100600	1	53778	55006	-	1229	2	1	0	4	0	2
gene:PF3D7_0100700	1	56690	56893	-	204	0	0	0	0	0	0
gene:PF3D7_0100800	1	59772	61003	+	1232	7	4	1	4	1	3
gene:PF3D7_0100900	1	62187	63400	-	1214	2	0	0	0	1	3
gene:PF3D7_0101000	1	65817	66989	-	1173	61	9	15	21	8	16
gene:PF3D7_0101100	1	69304	70417	-	1114	0	0	0	0	1	1
gene:PF3D7_0101200	1	71624	72426	+	803	0	0	0	0	0	0
gene:PF3D7_0101300	1	74563	75366	+	804	0	0	0	0	1	0
gene:PF3D7_0101600	1	81765	83106	-	1342	38	8	7	11	6	10
gene:PF3D7_0101800	1	87203	88177	-	975	0	1	0	0	1	0
gene:PF3D7_0101900	1	90242	91420	-	1179	2	3	1	2	0	2
gene:PF3D7_0102200	1	98819	102282	+	3464	294	265	82	248	131	176
gene:PF3D7_0102300	1	104704	105209	+	506	139	105	46	99	58	111
gene:PF3D7_0102500	1	110750	115799	-	5050	1899	1126	622	1116	743	944
gene:PF3D7_0102600	1	119041	121249	-	2209	3680	1510	1209	1317	1331	1120
gene:PF3D7_0102700	1	124517	125484	+	968	1054	514	383	520	457	481
gene:PF3D7_0102800	1	126318	128141	-	1824	722	319	293	316	337	298
gene:PF3D7_0102900	1	128960	130840	-	1881	14782	5179	5350	5167	5968	5129
gene:PF3D7_0103000	1	132086	133624	-	1539	4517	1814	1580	1781	1724	1647
gene:PF3D7_0103100	1	134353	139257	-	4905	7833	3120	2696	2813	3165	2633
gene:PF3D7_0103200	1	140662	142219	-	1558	5803	1701	1976	1644	2181	1738
gene:PF3D7_0103300	1	143640	146396	-	2757	11441	4451	4169	4505	4881	4138
gene:PF3D7_0103400	1	147915	152777	-	4863	140382	47396	51992	52310	61011	56062
gene:PF3D7_0103500	1	154176	160426	+	6251	4176	2076	2037	1760	2489	1582
gene:PF3D7_0103600	1	161131	166229	+	5099	6344	2600	2701	2051	3161	2358
gene:PF3D7_0103700	1	166513	168687	+	2175	2805	1171	1179	1128	1311	1123
gene:PF3D7_0103800	1	169079	171273	-	2195	35890	8519	10493	10027	11371	9909
gene:PF3D7_0103900	1	172864	174591	+	1728	13291	4076	4379	3482	4459	3748
gene:PF3D7_0104000	1	175609	176376	+	768	640	165	130	190	153	149
gene:PF3D7_0104100	1	178087	180790	+	2704	5500	2186	1992	2243	2328	2206
gene:PF3D7_0104200	1	182822	184222	-	1401	2798	1210	1048	1213	1290	1063
gene:PF3D7_0104300	1	190269	201230	+	10962	21335	7978	7828	7451	9143	6729
gene:PF3D7_0104400	1	202536	204143	+	1608	51007	17485	18639	20755	21564	20889
gene:PF3D7_0104500	1	204622	205455	-	834	3193	1314	1298	1146	1395	1173
gene:PF3D7_0104600	1	206170	210189	+	4020	762	440	376	342	445	295
gene:PF3D7_0104700	1	210870	213005	+	2136	1879	518	550	587	678	571
gene:PF3D7_0104800	1	215776	217509	+	1734	448	166	138	187	141	169
gene:PF3D7_0105100	1	221202	221633	+	432	1073	449	401	414	448	453
gene:PF3D7_0105200	1	222254	223960	-	1707	2629	1026	993	874	1091	758
gene:PF3D7_0105300	1	225110	225779	-	670	3038	1022	1121	1182	1268	1216
gene:PF3D7_0105400.1	1	226681	227285	-	605	0	0	0	0	0	0
gene:PF3D7_0105400.2	1	226681	227285	-	605	0	0	0	0	0	0
gene:PF3D7_0105500	1	228485	229519	-	1035	1396	525	526	438	542	425
gene:PF3D7_0105600	1	230289	234402	-	4114	2347	732	779	695	786	694
gene:PF3D7_0105700	1	238666	247857	+	9192	23862	7359	7866	6588	8637	6481
gene:PF3D7_0105800	1	249231	252010	-	2780	21310	6968	7934	7078	9198	7426
gene:PF3D7_0105900	1	253584	254930	+	1347	5865	2851	2449	2411	2998	2680
gene:PF3D7_0106000	1	255775	258543	-	2769	8841	2957	3367	2798	3721	2887
gene:PF3D7_0106100	1	260658	261809	-	1152	4751	1820	1777	1499	2037	1497
gene:PF3D7_0106200	1	263340	264223	-	884	1171	510	459	488	524	494
gene:PF3D7_0106300	1	265208	269173	-	3966	26587	8608	8866	8495	10227	7711
gene:PF3D7_0106400	1	272454	273404	+	951	3634	1421	1383	1238	1474	1229
gene:PF3D7_0106500	1	274315	278550	+	4236	7820	3716	3305	2890	3883	2955
gene:PF3D7_0106600	1	279115	280014	+	900	706	253	272	227	236	197
gene:PF3D7_0106700	1	281155	285459	+	4305	18713	7299	6640	7138	7544	6405
gene:PF3D7_0106800	1	286951	288918	+	1968	3932	1293	1361	1363	1647	1216
gene:PF3D7_0106900	1	290386	292590	+	2205	2949	1405	1301	1063	1504	1223
gene:PF3D7_0107000.1	1	293642	294968	+	1327	13042	4105	4203	4521	4522	4215
gene:PF3D7_0107100	1	295300	296931	-	1632	1031	356	329	418	375	402
gene:PF3D7_0107200	1	297362	299397	+	2036	1446	551	495	598	558	588
gene:PF3D7_0107300	1	299562	300868	-	1307	17640	6315	6563	6441	7238	6780
gene:PF3D7_0107400	1	302937	303398	+	462	3125	1142	1131	1308	1231	1191
gene:PF3D7_0107500	1	304362	309257	-	4896	16097	7154	6803	6216	8206	5803
gene:PF3D7_0107600	1	314618	319405	+	4788	1967	1043	930	714	1031	887
