Geneid	Chr	Start	End	Strand	Length	SRR10438732	SRR10438733	SRR9041555	SRR9041557	SRR9041558	SRR9041559	SRR9041560	SRR9041567	SRR9041568	SRR9041569	SRR9041570
PBANKA_010010	1	2964	4509	+	1546	1004	1109	171	253	434	232	35	143	179	358	448
PBANKA_010020	1	5878	7075	+	1198	1672	1991	310	366	761	363	70	292	264	597	789
PBANKA_010040	1	13433	15372	+	1940	2645	2543	388	606	1282	676	86	486	503	871	1366
PBANKA_010050	1	16641	18072	-	1432	1048	1054	174	246	508	252	34	191	214	328	555
PBANKA_010060	1	19378	19860	+	483	373	450	54	80	151	108	11	61	72	125	179
PBANKA_010070	1	21904	23062	+	1159	752	1007	107	201	393	199	36	156	159	320	434
PBANKA_010080	1	24148	28296	-	4149	2902	2919	441	592	1305	735	139	606	580	863	1510
PBANKA_010090	1	32842	36862	+	4021	2751	2854	419	603	1302	715	120	494	502	916	1371
PBANKA_010100	1	37985	39255	+	1271	885	934	141	244	474	233	40	176	160	288	460
PBANKA_010110	1	40254	41207	+	954	654	609	104	187	347	204	24	113	125	246	340
PBANKA_010120	1	41810	44969	-	3160	2219	2255	348	469	1056	568	87	400	415	670	1100
PBANKA_010130	1	45665	46819	+	1155	790	927	118	194	375	222	27	142	150	252	446
PBANKA_010140	1	47226	51670	-	4445	3076	3236	443	628	1419	756	113	623	589	951	1680
PBANKA_010150	1	54273	55676	-	1404	964	905	177	248	477	288	50	174	166	288	464
PBANKA_010160	1	56344	58368	+	2025	1303	1291	214	278	677	310	54	236	249	433	667
PBANKA_010170	1	58764	60211	-	1448	1055	1037	168	241	495	258	44	168	177	350	494
PBANKA_010180	1	62124	63623	+	1500	1024	1088	153	243	497	271	38	186	186	324	529
PBANKA_010190	1	64919	66355	-	1437	1028	1077	181	250	458	270	44	165	194	330	498
PBANKA_010200	1	68619	70043	+	1425	1006	1194	139	204	510	301	39	220	214	378	578
PBANKA_010210	1	70631	72184	-	1554	1173	1252	183	231	540	286	50	204	218	388	635
PBANKA_010220	1	73407	76112	-	2706	1710	1687	280	390	875	458	75	291	327	644	876
PBANKA_010230	1	79270	80592	+	1323	1053	1090	132	232	422	221	51	175	159	315	518
PBANKA_010240	1	81338	87252	-	5915	3985	3841	623	920	1935	1010	156	700	732	1244	2026
PBANKA_010250	1	89051	90484	+	1434	1003	1031	160	227	461	247	44	177	192	305	474
PBANKA_010260	1	90545	98466	-	7922	5187	5001	818	1175	2492	1295	231	1013	976	1650	2738
PBANKA_010270	1	99252	100370	-	1119	856	786	135	229	399	191	29	139	144	320	392
PBANKA_010280	1	101639	106168	-	4530	2885	2775	452	736	1551	771	122	544	550	1010	1422
PBANKA_010290	1	108389	114175	-	5787	3695	3291	576	842	1796	928	126	643	670	1210	1867
PBANKA_010300	1	117894	118616	+	723	519	554	95	131	201	108	29	85	98	182	238
PBANKA_010310	1	119281	121272	+	1992	1358	1254	206	306	614	311	58	226	230	440	610
PBANKA_010320	1	122082	123213	+	1132	824	787	111	177	379	195	39	146	144	260	400
